ān fèng	安鳳
jiǔ xǐng mèng huí chūn jìn rì	酒醒夢迴春盡日
jiǔ xǐng mèng huí wén xuě luò	酒醒夢迴聞雪落
jiǔ xǐng mèng jué qǐ rào shù	酒醒夢覺起繞樹
jiǔ xǐng nán wàng gé tiān yá	酒醒南望隔天涯
jiǔ xìng qíng qīn jù bù qiǎn	酒興情親俱不淺
jiǔ xǐng què yì ér tóng shì	酒醒卻憶兒童事
jiǔ xǐng rén jìng nài chóu nóng	酒醒人靜奈愁濃
jiǔ xǐng rén sàn shān jì jì	酒醒人散山寂寂
jiǔ xǐng shí wǎng shì chóu cháng	酒醒時往事愁腸
jiǔ xíng wèi zuì wén mù jī	酒行未醉聞暮雞
jiǔ xǐng yǐ jiàn cán hóng wǔ	酒醒已見殘紅舞
jiǔ xǐng zhǐ zài huā qián zuò	酒醒只在花前坐
jiù xǔ xīn shī kāng lè qí	舊許新詩康樂齊
jiù xué sān dōng jīn zhuǎn fù	舊學三冬今轉富
jiǔ xué wén zhāng hán bái fèng	久學文章含白鳳
jiǔ yá dài tǔ quán rú jué	韭芽戴土拳如蕨
jiǔ yán gē xí mò cí pín	酒筵歌席莫辭頻
jiǔ yán mù sàn míng yuè shàng	酒筵暮散明月上
jiǔ yán shàng dá zhāng jū shì	酒筵上答張居士
jiǔ yáo suān báo hóng fěn àn	酒餚酸薄紅粉暗
jiǔ yào tiān guān shǒu yè chā	九鑰天關守夜叉
jiù yáo wéi móu bù rén yuǎn	咎繇爲謀不仁遠
jiù yè yǐ suí zhēng zhàn jìn	舊業已隨征戰盡
jiù yè yǐ yīng chéng mào cǎo	舊業已應成茂草
jiǔ yí cán xuě bái yuán tí	九疑殘雪白猿啼
jiǔ yí chán tiān gǔ yún mái	九嶷巉天古云埋
jiǔ yí chán tiān huāng shì fēi	九疑鑱天荒是非
jiǔ yí fēng pàn èr jiāng qián	九疑峯畔二江前
jiǔ yí lián mián jiē xiāng sì	九疑聯綿皆相似
jiǔ yí lián mián shǔ héng xiāng	九疑聯綿屬衡湘
jiǔ yì pí tǒng bú yòng gū	酒憶郫筒不用酤
jiù yì rén xī jīng luàn lí	舊邑人稀經亂離
jiǔ yí shān shàng bái yún fēi	九嶷山上白雲飛
jiǔ yí shān shēn jǐ qiān lǐ	九疑山深幾千里
jiǔ yí shān zhōng è lǜ huá	九疑山中萼綠華
jiǔ yí shēn lù rào shān huí	九疑深路繞山回
jiǔ yì shī qíng shuí yǔ gòng	酒意詩情誰與共
jiǔ yí yún wù zhì jīn chóu	九疑雲物至今愁
jiù yīn chún cài qiú cháng jià	舊因蓴菜求長假
jiǔ yǐn jīn huá yù yè jiāng	酒飲金華玉液漿
jiǔ yīn jǔ jué hái zhī wèi	酒因咀嚼還知味
jiù yǐn lái xún tōng dé lǐ	舊隱來尋通德裏
jiǔ yǐn sān bēi qì shàng cū	酒飲三杯氣尚粗
jiù yǐn wèi xián shuāi fèi jiǔ	舊尹未嫌衰廢久
jiù yīn xī jì xìn míng zāi	就陰息跡信明哉
jiǔ yīn xīn jì yí sī guǎn	久陰新霽宜絲管
jiù yǐng jí jí chōng huáng liáng	就影汲汲舂黃粱
jiù yóu bǐ mò tái jīn lǎo	舊遊筆墨苔今老
jiù yóu dào chù jiē cāng xiǎn	舊遊到處皆蒼蘚
jiù yóu fēn sǎn rén líng luò	舊遊分散人零落
jiù yóu kōng shǐ lèi lián lián	舊遊空使淚連連
jiù yóu kōng zài rén hé chù	舊遊空在人何處
jiù yóu lián wǒ cháng shā zhé	舊遊憐我長沙謫
jiù yóu liú luò bàn guī quán	舊遊流落半歸泉
jiǔ yǒu quán gōng bǐ yǒu shén	酒有全功筆有神
jiù yǒu sān zhū chí zèng jūn	舊有三株持贈君
jiù yóu shí jié hǎo huā tiān	舊遊時節好花天
jiù yóu sì mèng tú néng shuō	舊遊似夢徒能說
jiù yóu wèi bì biàn xiāng wàng	舊遊未必便相忘
jiù yóu wú chǔ bù kān xún	舊遊無處不堪尋
jiù yǒu xiāng yī wàn lǐ yú	舊友相依萬里餘
jiù yóu yì zài jiāng hú jiǔ	舊遊憶在江湖久
jiù yóu zhī dì duō cāng tái	舊遊之地多蒼苔
jiù yóu zhī rén bàn bái shǒu	舊遊之人半白首
jiǔ yǔ cāng bō gòng bái tóu	久與滄波共白頭
jiǔ yǔ chū qíng tiān qì xīn	久雨初晴天氣新
jiǔ yú huān shì sì huán xiāng	酒餘歡適似還鄉
jiù yǔ lái rén bú dào mén	舊雨來人不到門
jiù yǔ lái rén jīn bù lái	舊雨來人今不來
jiǔ yǔ shī qíng tì bié chóu	酒語詩情替別愁
jiù yǔ xiāng chuán liáo zì wèi	舊語相傳聊自慰
jiù yǔ yáng láng zài dì chéng	舊與楊郎在帝城
jiù yuàn chūn tián cǎo wèi qí	舊苑春田草未齊
jiǔ yuán huàn qǐ dù líng wēng	九原喚起杜陵翁
jiù yuàn huāng tái yáng liǔ xīn	舊苑荒臺楊柳新
jiǔ yuán kě zuò wú shuí yǔ	九原可作吾誰與
jiǔ yuán sōng bǎi zì shēng yān	九原松柏自生煙
jiǔ yuán wéi wàng zhǒng lěi lěi	九原唯望冢累累
jiǔ yuàn zuò gōng zūn zǔ kè	久願作公樽俎客
jiù yuè cái shī yǔ zuì zhēn	救月裁詩語最真
jiù yuè dōng lái shī nǚ qiáng	舊月東來失女牆
jiǔ yuè hán zhēn cuī mù yè	九月寒砧催木葉
jiǔ yuè hán zhēn cuī xià yè	九月寒砧催下葉
jiǔ yuè jiàng shuāng qiū zǎo hán	九月降霜秋早寒
jiǔ yuè jiǔ rì tiào shān chuān	九月九日眺山川
jiǔ yuè jiǔ rì wàng xiāng tái	九月九日望鄉臺
jiǔ yuè jiǔ rì wàng yáo kōng	九月九日望遙空
jiǔ yuè píng lán wèi qiè fēng	九月憑欄未怯風
jiǔ yuè shuāng tiān shuǐ zhèng hán	九月霜天水正寒
jiǔ yuè tiān shān fēng sì dāo	九月天山風似刀
jiǔ yuè wú shuāng jìn huǒ yún	九月無霜盡火雲
jiǔ yuè xián xiāo chū xiàng huǒ	九月閒宵初向火
jiǔ yuè xiāng jiāng shuǐ màn liú	九月湘江水漫流
jiǔ yuè xú zhōu xīn zhàn hòu	九月徐州新戰後
jiǔ yùn wú duān shàng yù jī	酒暈無端上玉肌
jiù zèng kǒng néng kāi bǎo xiá	舊贈恐能開寶匣
jiǔ zhài xún cháng xíng chù yǒu	酒債尋常行處有
jiù zhái yuán lín xián bù kāi	舊宅園林閒不開
jiǔ zhǎn chóng yáng zì bù gōng	酒盞重陽自不供
jiǔ zhǎn huā zhī pín zhě yuán	酒盞花枝貧者緣
jiǔ zhǎn lái cóng yì bǎi fēn	酒醆來從一百分
jiǔ zhǎn shěng péi bō juǎn bái	酒盞省陪波卷白
jiǔ zhǎn zhuó lái xū mǎn mǎn	酒盞酌來須滿滿
jiù zhàng wú fù sì chén āi	舊瘴無復似塵埃
jiū zhàng xiān shēng yù shào nián	鳩杖先生愈少年
jiǔ zhāo sān jiàn tài píng nián	九朝三見太平年
jiǔ zhé wān zhōng wàn hú zhōu	九折灣中萬斛舟
jiǔ zhé yán qián qiǎo zhù fēng	九折巖前巧貯風
jiǔ zhēn chéng zhào shàng lóng hú	九真承詔上龍胡
jiù zhèng yóu chuán shǔ fù lǎo	舊政猶傳蜀父老
jiù zhī bái rì zhū cáo mǎn	舊知白日諸曹滿
jiǔ zhī dēng qíng yè zhū yuán	九枝燈檠夜珠圓
jiǔ zhī dēng xià cháo jīn diàn	九枝燈下朝金殿
jiù zhī shān lǐ jué fēn āi	舊知山裡絕氛埃
jiǔ zhī shì jiè rú pào yǐng	久知世界如泡影
jiù zhōng ài dú yīng xióng zhuàn	就中愛讀英雄傳
jiù zhōng cǎo shèng zuì tiān zòng	就中草聖最天縱
jiù zhōng cháng duàn shì qiū tiān	就中腸斷是秋天
jiù zhōng chóu chàng shì jiāng lí	就中惆悵是江蘺
jiǔ zhōng dǎo wò nán shān lǜ	酒中倒臥南山綠
jiù zhōng gèng yǒu chī er nǚ	就中更有癡兒女
jiù zhōng jīn yè zuì chóu rén	就中今夜最愁人
jiù zhōng jīng zào yóu kū jué	就中驚燥尤枯絕
jiǔ zhōng lè hān xiāo xiàng fēn	酒中樂酣宵向分
jiù zhōng lěng nuǎn hé shuí dào	就中冷暖和誰道
jiù zhōng lún luò bú guò jūn	就中淪落不過君
jiù zhōng nán bié shì hú biān	就中難別是湖邊
jiù zhōng piān hǎo shì chūn tiān	就中偏好是春天
jiù zhōng réng jiàn fán sāng má	就中仍見繁桑麻
jiù zhōng sān shí chēng yí shì	就中三十稱一世
jiù zhōng shān táng xuě gèng qí	就中山堂雪更奇
jiù zhōng sū xiǎo gǎn ēn duō	就中蘇小感恩多
jiǔ zhōng wú dú lìng zhǔ shòu	酒中無毒令主壽
jiǔ zhōng wú zhèng zhēn sān mèi	酒中無諍真三昧
jiù zhōng xián shì shì fēn sī	就中閒適是分司
jiù zhōng yě qù zài xī piān	就中野趣在西偏
jiù zhōng yì cóng hé suǒ sì	就中一叢何所似
jiù zhōng yí yè dōng fēng è	就中一夜東風惡
jiǔ zhōng yǒu dú zhèn zhǔ fù	酒中有毒鴆主父
jiù zhōng yóu yǒu yáng qióng zài	就中猶有楊瓊在
jiù zhōng yǔ jūn xīn mò nì	就中與君心莫逆
jiù zhōng yún mù jiāo fáng qīn	就中雲幕椒房親
jiǔ zhōng zhēn fù yǒu hé hǎo	酒中真復有何好
jiù zhōng zuì ài ní cháng wǔ	就中最愛霓裳舞
jiù zhōng zuì hǎo shì jīn zhāo	就中最好是今朝
jiù zhōng zuì yì wú jiāng wēi	就中最憶吳江隈
jiǔ zhōu bīng gé hào máng máng	九州兵革浩茫茫
jiǔ zhōu dào lù wú chái hǔ	九州道路無豺虎
jiǔ zhōu hé lù bù yáng cháng	九州何路不羊腸
jiǔ zhōu shān zé shǔ cáo sī	九州山澤屬曹司
jiǔ zhōu shēng qì shì fēng léi	九州生氣恃風雷
jiǔ zhōu shì mù zhān qīng guāng	九州拭目瞻清光
jiǔ zhōu sì hǎi cháng wú shì	九州四海常無事
jiǔ zhōu xià shì yǎo wèi dàn	九州下視杳未旦
jiù zhù héng shān céng yè guī	舊住衡山曾夜歸
jiù zhǔ jiāng biān cè mào yán	舊主江邊側帽檐
jiù zhú qīng qīng cháng rào zhái	舊竹青青常繞宅
jiǔ zhú tái qián shí èr shū	九燭臺前十二姝
jiù zhuàn bǐ yì hòu jiā wǔ	舊傳比翼侯家舞
jiǔ zhuàn dàn néng shēng yǔ yì	九轉但能生羽翼
jiù zhuàn nán hǎi chū líng qín	舊傳南海出靈禽
jiǔ zhuàn shén dān dōu mán shuō	九轉神丹都謾說
jiǔ zǐ xiàn jūn mén hù zhuàng	九子羨君門戶壯
jiǔ zòu wèi zhōng bǎi liáo duò	九奏未終百寮惰
jiǔ zú fēn lí zuò chǔ qiú	九族分離作楚囚
jiǔ zú wéi róng zhēn kě xiàn	九族為榮真可羨
jiù zú xīn yíng biàn qīng cǎo	舊卒新營遍青草
jiǔ zuì hái lái huā xià mián	酒醉還來花下眠
jiǔ zūn yān huǒ zhǎng xiàng jìn	酒樽煙火長相近
jiǔ zuò péng péng rù nǎo shēng	酒作蓬蓬入腦聲
jiǔ zuò wēi hān zhū kè dào	酒坐微酣諸客倒
jù ān mèng guī zài qīn cè	據鞍夢歸在親側
jù áo mò dài sān shān qù	巨鰲莫戴三山去
jù áo shǒu dài péng lái shān	巨鰲首戴蓬萊山
jù áo táng tū gāo yàn yán	巨鰲唐突高焰延
jù áo wèi zhǎn hǎi shuǐ dòng	巨鰲未斬海水動
jǔ bǎn zhī yí duì shān sè	舉板支頤對山色
jǔ bēi chēng shòu yǒng xiāng bǎo	舉杯稱壽永相保
jǔ bēi tóng jiāng shàng qīng fēng	舉杯同江上清風
jǔ bēi xiāo chóu chóu gèng chóu	舉杯銷愁愁更愁
jǔ bēi xiāo chóu chóu gèng chóu	舉杯消愁愁更愁
jǔ bēi yì qì yù fān pén	舉杯意氣欲翻盆
jǔ bēi yīng tàn bù tóng qīng	舉杯應嘆不同傾
jǔ biān pāi shǒu xiào shān jiǎn	舉鞭拍手笑山簡
jù bù xiāng jiāng sàn bù fēn	聚不相將散不分
jù bú zì jīng cháng lèi luò	詎不自驚長淚落
jú cán yóu yǒu ào shuāng zhī	菊殘猶有傲霜枝
jǔ chā jué jiào chǐ lǐ shuāng	舉叉絕叫尺鯉雙
jū cháng àn zhù yuān chú zhuó	疽腸暗著鵷雛啄
jū cháng bìng tà yóu bìng xuān	居常並榻遊並軒
jǔ chì bù jí zhuì péng hāo	舉翅不及墜蓬蒿
jū chǔ sān huā duì shí shì	居處三花對石室
jū chǔ xiāo tiáo jìn luò hé	居處蕭條近洛河
jù chuān jì le zuò xū zhōu	巨川濟了作虛舟
jù chuán yán hǎi è yú jīng	句傳炎海鱷魚驚
jù chuáng dào chù kān chuī dí	踞牀到處堪吹笛
jú cóng yī dào wèi zú dào	菊叢欹倒未足道
jù dài yì shēng chóu bì xiāo	聚黛一聲愁碧霄
jù dé jiāng xīn rù jūn fù	詎得將心入君腹
jù fǎ cí fēng jué yǒu shén	句法詞鋒覺有神
jù fǎ rú cǐ jīn shuí gōng	句法如此今誰工
jù fēi jiá dié yuán xiàng zhú	俱飛蛺蝶元相逐
jǔ gān yǐn xiàn hū yǒu de	舉竿引線忽有得
jū gāo wàng xià zhēn hé yì	居高忘下真何益
jū gōng qī bìng lái fēn lì	狙公欺病來分慄
jū gōng qī xù fù guì tiān	狙公七芧富貴天
jù guān jiā dào juǎn hóng lóu	聚觀夾道卷紅樓
jū guān sǐ zhí zhàn sǐ suí	居官死職戰死綏
jù hè cáng zhōu gǎn dài fū	巨壑藏舟感大夫
jù hèn shēn tán bù kě yuè	詎恨深潭不可越
jú huā cóng cǐ bù xū kāi	菊花從此不須開
jú huā fēng yè xiàng shuí qiū	菊花楓葉向誰秋
jú huā guò hòu zǎo méi qián	菊花過後早梅前
jú huā lí yè mǎn huāng qú	菊花梨葉滿荒渠
jú huā mò hèn kāi shí wǎn	菊花莫恨開時晚
jú huā néng zuì qù guān rén	菊花能醉去官人
jú huā sān xiào lǚ huái kāi	菊花三笑旅懷開
jú huā shí jié xiàn jūn huí	菊花時節羨君回
jú huā xiāng fù bái píng zhōu	橘花香覆白蘋洲
jú huā yǒu xìn bù wú qī	菊花有信不吾欺
jǔ huái xiāo chóu chóu gèng chóu	舉懷銷愁愁更愁
jù huái yì xīng zhuàng sī fēi	俱懷逸興壯思飛
jú huáng lú bái yàn chū fēi	菊黃蘆白雁初飛
jǔ huī qí hū yī shǐ zhōng	舉麾齊呼一矢中
jǔ huī shàng mǎ shèng yú chū	舉麾上馬乘輿出
jù jí zhū láng yàn lǎo shēn	聚集諸郎宴老身
jù jiǎ héng fén fā zhào gē	詎假橫汾發棹歌
jǔ jiā jìn xiào jīn rú cǐ	舉家盡笑今如此
jǔ jiā lián nǚ bù tóng pán	舉家憐女不同盤
jǔ jiā xiāng duì què zhān jīn	舉家相對卻沾巾
jǔ jiā xiàng zhú huán xiāng qù	舉家相逐還鄉去
jǔ jiā xíng kū xiàng tián yuán	舉家行哭向田園
jǔ jiā yóu sì hé chí yú	舉家猶似涸池魚
jù jiǎn bù shū duō lǔ mǎng	句檢簿書多鹵莽
jù jiǎn tiān tái wàng sān jǐng	詎減天台望三井
jū jìng táng qián gòng dú shí	居敬堂前共讀時
jǔ jiǔ cháng péi wèi gōng zǐ	舉酒常陪魏公子
jǔ jiǔ dōng róng yì jiāng hǎi	舉酒東榮挹江海
jǔ jiǔ yù yǐn wú guǎn xián	舉酒欲飲無管弦
jǔ jǔ dōng lái xiǎng zú yīn	踽踽東來想足音
jù jù yán cí zhuì sè sī	句句妍辭綴色絲
jǔ jūn jìn jīng wáng bù yí	舉軍盡驚王不疑
jù kěn gǎn jī tú ān ē	詎肯感激徒媕婀
jù lǐ wú chén chūn sè jìng	句裏無塵春色靜
jù liè jiàn yuán shēng jìn wéi	遽列諫垣升禁闈
jū lín běi guō gǔ sì kōng	居鄰北郭古寺空
jù líng páo xiào bāi liǎng shān	巨靈咆哮擘兩山
jū liú mù fǔ bào guān yí	拘留幕府報官移
jù liú zuì kè yè péi huí	句留醉客夜裴回
jù lóng tán xià zǔ huān yú	句龍壇下阻歡娛
jú lòu fēng jiāo mì jǐ pí	菊露風膠蜜幾脾
jù lóu zhī zhōng zé wéi zhī	聚僂之中則為之
jù lú chì tàn yǐ bù xiá	踞爐熾炭已不暇
jū mín lái shuō shuǐ quán gān	居民來說水泉甘
jū mín xiāo tiáo zá mí lù	居民蕭條雜麋鹿
jǔ mù fēng yān fēi jiù shí	舉目風煙非舊時
jǔ mù jìn fáng rén zuò lè	舉目盡妨人作樂
jǔ mù xiāo tiáo zǒng shì chóu	舉目蕭條總是愁
jǔ mù yún shān yào zì mí	舉目雲山要自迷
jǔ mù zhēng néng bù chóu chàng	舉目爭能不惆悵
jù néng zǒu mǎ rù cháng qiū	俱能走馬入長楸
jǔ nì kě jì qióng nián tuī	沮溺可繼窮年推
jǔ niè qīn fū wèi yún yǐ	咀齧侵膚未雲已
jú pǔ xiāng suí yīng wǔ fàn	菊浦香隨鸚鵡泛
jù qí yǔ zhòng yù zhě shǎo	句奇語重喻者少
jù qīng kū chù yún kōng duàn	巨卿哭處雲空斷
jù qū tūn miè sān zhōu jiè	具區吞滅三州界
jú qǔ zhǔ bǐng tàn zhù tāng	菊曲煮餅探注湯
jū rán duì wǒ shuō wú wǒ	居然對我說無我
jū rán huà zhōng jiàn zhēn tài	居然畫中見真態
jū rán wàn huà xián yīng gǎi	居然萬化鹹應改
jū rán zì shì hàn xián liáng	居然自是漢賢良
jū rén bú zì jiě dōng xi	居人不自解東西
jū rén gòng zhù wǔ líng yuán	居人共住武陵源
jū rén jiàn yuè yī yuè xíng	居人見月一月行
jǔ rén kàn bǎng wén xiǎo gǔ	舉人看榜聞曉鼓
jū rén mǎn mù shì cháo biàn	居人滿目市朝變
jū rén pǐ mǎ yìng lín sī	居人匹馬映林嘶
jū rén sī kè kè sī jiā	居人思客客思家
jū rén sòng kè xī guī chù	居人送客西歸處
jū rén wèi gǎi qín yī fu	居人未改秦衣服
jū rén xiāng gù fēi rén jiān	居人相顧非人間
jū rén xíng lè lù rén kuā	居人行樂路人誇
jù rú fú mò sàn rú yún	聚如浮沫散如雲
jù sàn dàn cán cháng jiàn niàn	聚散但慚長見念
jù sàn qióng tōng bú zì zhī	聚散窮通不自知
jù sàn qióng tōng hé zú dào	聚散窮通何足道
jù sàn qióng tōng zǒng shì xián	聚散窮通總是閒
jù sàn tóng jīng yī zhěn mèng	聚散同驚一枕夢
jù sàn xì sī dōu shì mèng	聚散細思都是夢
jù sàn xíng zuò fēng huā piē	聚散行作風花瞥
jù sàn xū kōng qù fù huán	聚散虛空去復還
jū sēng xiào wǒ liàn qīng jǐng	居僧笑我戀清景
jǔ shàn xī fēng yù wū rén	舉扇西風欲污人
jǔ shāng bái yǎn wàng qīng tiān	舉觴白眼望青天
jǔ shāng jí shèn hǎi tūn cháo	舉觴疾甚海吞潮
jǔ shāng lèi yáo yáo kě wén	舉觴酹堯堯可聞
jú shēng huái nán zé wéi jú	橘生淮南則為橘
jǔ shēng suān bí wèn tóng nián	舉聲酸鼻問同年
jù shèng xiān fú ěr dì xiāng	詎勝仙鳧邇帝鄉
jū shì bāi kāi zhēn yǒu yì	居士擘開真有意
jù shí bēn yá zhǐ xià shēng	巨石奔崖指下生
jū shì bìng lái xián yǒu yú	居士病來閒有餘
jù shì cāng shēng liú bù dé	俱是蒼生留不得
jǔ shì dàn néng jīng yǐn yì	舉世但能旌隱逸
jū shì ěr shí yuán hù jiè	居士爾時緣護戒
jǔ shì gèng wú xún yuǎn sǐ	舉世更無巡遠死
jǔ shì hé rén shí dào zhēn	舉世何人識道真
jū shì hūn xīng jīn yǐ duàn	居士葷腥今已斷
jǔ shì jiē qīn chéng xiàng gé	舉世皆親丞相閣
jǔ shì jiē tóng wú dú yì	舉世皆同吾獨異
jǔ shì jiē zhuó wǒ dú qīng	舉世皆濁我獨清
jǔ shì jìn xián liáng mǎ shòu	舉世盡嫌良馬瘦
jú shì qù nián yī jiù huáng	菊是去年依舊黃
jù shì rén tiān dì yī cái	俱是人天第一才
jū shì shēn xīn rú gǎo mù	居士身心如槁木
jū shì shì jiān mián dé suǒ	居士室間眠得所
jú shì suī chí wèi bì shū	局勢雖遲未必輸
jù shí sūn gōng yǔ xiè gōng	俱識孫公與謝公
jū shì wàng quán mò mò zuò	居士忘筌默默坐
jū shì wú chén kān xǐ mù	居士無塵堪洗沐
jǔ shì wú rén jiě niǎo yán	舉世無人解鳥言
jū shì yǔ wǒ gài tóng ěr	居士與我蓋同耳
jǔ shì zhēng chēng yè wǎ jiān	舉世爭稱鄴瓦堅
jū shǒu jīng qí fù luò yáng	居守旌旗赴洛陽
jǔ shǒu mā sā tán shàng shí	舉手摩挲潭上石
jù shòu wú suǒ yǐn qí qū	巨獸無所隱其軀
jù shū mù jiàn fēi wàng zhēng	具書目見非妄徵
jù shuāng huáng jú wèi shuí kāi	拒霜黃菊為誰開
jù suí zhōng fù fèng lóu hán	詎隨中婦鳳樓寒
jù tán mò wèn jǐng lán gān	劇談莫問井闌干
jù táng fǔ shì hé suǒ yǒu	踞堂俯視何所有
jù táng shuí jué sì fēi rén	倨堂誰覺似非人
jǔ tóu hū kàn bú sì huà	舉頭忽看不似畫
jǔ tóu jiàn kè sì cháng yán	舉頭見客似長言
jǔ tóu kàn shān hù zhǔ jiá	舉頭看山笏拄頰
jǔ tóu sān shí liù qīng shān	舉頭三十六青山
jǔ tóu shì wàng nán shān lǐng	舉頭試望南山嶺
jǔ tóu yáo wàng lǔ yáng shān	舉頭遙望魯陽山
jǔ tóu yǐ jué qiān shān lǜ	舉頭已覺千山綠
jū tǔ yí shān wàng shān jìn	掬土移山望山盡
jù tuí tài shān jīng shì bō	遽頹泰山驚逝波
jǔ wǎng jīng hū dé jù yú	舉網驚呼得巨魚
jú wéi zhòng yáng mào yǔ kāi	菊為重陽冒雨開
jù wén jīn gǔ běn hé rén	聚蚊金谷本何人
jū wù duō yíng mèi jì rán	居物多贏昧計然
jù wú tíng dōng qiān lǐ qiū	句吳亭東千里秋
jù wú tōng zǐ jì yú chén	俱無通子繼餘塵
jù xì běn chū xiāng xíng zhōng	鉅細本出相形中
jù xī huān yú gē chuī wǎn	遽惜歡娛歌吹晚
jù xí tán jīng zhǐ qiǎng yán	據席談經只強顏
jū xià bù kě yǐ wéi duǎn	居下不可以為短
jǔ xián cái ér shòu néng xī	舉賢才而授能兮
jǔ xián lā tiě bìng quán qí	咀銜拉鐵並權奇
jù xīn yuè yì gǎn ēn fēn	劇辛樂毅感恩分
jù xùn kōng míng jiē yù lǎo	俱徇空名嗟欲老
jū yán chéng wài liè tiān jiāo	居延城外獵天驕
jǔ yǎn fēng guāng cháng jì mò	舉眼風光長寂寞
jù yàn wáng jiā qí lè yǐ	聚宴王家其樂矣
jù yāo xiá kè fú róng jiàn	俱邀俠客芙蓉劍
jù yě dōng qīng huái sì mǎn	鉅野東傾淮泗滿
jù yì fāng yuán táo lǐ rén	詎憶芳園桃李人
jù yǐn chūn fēng wú xiàn qíng	句引春風無限情
jú yòu chuí fāng zhào chuāng hu	橘柚垂芳照窗戶
jù yǒu tóng chí chū wǔ yún	詎有銅池出五雲
jù yǔ táo lǐ zhēng chūn róng	句與桃李爭春榮
jù yú wú suǒ hái qí tǐ	巨魚無所還其體
jù zài liáng tíng sòng shǐ jūn	俱在涼亭送使君
jú zhāi jīn bāo suí yì shǐ	橘摘金苞隨驛使
jú zhǎn yú náng zì gǔ chuán	菊盞萸囊自古傳
jù zhān zūn zhòng chéng wú dí	具瞻尊重誠無敵
jǔ zhǐ dī huí xiù mèi duō	舉止低迴秀媚多
jú zhì duǎn shì zhī tuí líng	菊制短世之頹齡
jǔ zhī wèi biàn chūn rì míng	舉枝未遍春日暝
jú zhōng dòu lèi ā shuí gāo	局中鬥累阿誰高
jù zhōng shāo jué dào zhàn shèng	句中稍覺道戰勝
jú zhōu fàn fú jīn shí dòng	橘洲泛浮金實動
jú zhōu tián tǔ réng gāo yú	橘洲田土仍膏腴
jǔ zú huí kàn wàn lǐng dī	舉足回看萬嶺低
jǔ zú zhǎng xuán sì xì yāo	舉族長懸似細腰
juǎn cáng tiān lù tūn shí qú	卷藏天祿吞石渠
juàn chán shí zuò tuó tuó zuò	倦禪時作橐駝坐
juān cuò bì yīng pì tí gāo	鐫錯碧罌鸊鵜膏
juǎn dì fēng lái hū chuī sàn	卷地風來忽吹散
juǎn dì fēng pāo shì jǐng shēng	卷地風拋市井聲
juàn fēi bù nǐ kòng fú yáo	倦飛不擬控扶搖
juàn fēi ruò yǔ jiǔ zhī huán	倦飛弱羽久知還
juǎn fù qí nú shì jìn qīng	卷付騎奴市盡傾
juān gōng lè chéng gào wàn shì	鐫功勒成告萬世
juǎn hòu yǐ èr jué jì zhī	卷後以二絕繼之
juǎn jìn cán huā fēng wèi dìng	卷盡殘花風未定
juǎn jìn qīng yún yuè gèng míng	卷盡輕雲月更明
juān juān bù zhǐ jiāng hé shēng	涓涓不止江河生
juàn juàn cháng láng zǒu huáng yè	卷卷長廊走黃葉
juān juān qì lù zǐ hán xiào	涓涓泣露紫含笑
juān juān quē yuè yǐn yún wù	娟娟缺月隱雲霧
juān juān rǔ liū wèi hé nóng	涓涓乳溜味何濃
juān juān shuāng yuè zhào shēng huán	娟娟霜月照生還
juān juān xì dié guò xián màn	娟娟戲蝶過閒幔
juān juān yún yuè shāo qīn xuān	娟娟雲月稍侵軒
juàn kàn sè lè àn mán cūn	倦看澀勒暗蠻村
juàn kàn yì yì tīng yōu yōu	倦看鶂鶂聽呦呦
juàn kè chóu wén guī lù yáo	倦客愁聞歸路遙
juàn kè dēng lín wú xiàn sī	倦客登臨無限思
juǎn ké ér shí bìng wèi néng	卷殼而食病未能
juàn kè tíng ráo yī shì wú	倦客停橈一事無
juàn kè xī lái yàn mǎ ān	倦客西來厭馬鞍
juàn kè zài yóu xíng lǎo yǐ	倦客再遊行老矣
juàn lái píng wò kàn yún yān	倦來平臥看雲煙
juàn liàn cháng xū xiàng rì xī	眷戀常須向日西
juǎn lián cháo qì yù lóu yún	捲簾朝泣玉樓雲
juǎn lián dài de yuè huá shēng	捲簾待得月華生
juǎn lián fāng guì sàn yú xiāng	捲簾芳桂散餘香
juǎn lián fēi yàn hái fú shuǐ	捲簾飛燕還拂水
juǎn lián guā yù shú xī chóu	捲簾瓜芋熟西疇
juǎn lián jiàn yuè qīng xìng lái	捲簾見月清興來
juǎn lián mǎn dì pù qú shū	捲簾滿地鋪氍毹
juǎn lián nà fù sì yáng zhōu	捲簾那復似揚州
juǎn lián shuāng què jīng fēi qù	捲簾雙鵲驚飛去
juǎn lián sōng zhú xuě chū jì	捲簾松竹雪初霽
juǎn lián táng shàng tán cáo nào	捲簾堂上檀槽鬧
juǎn lián tuī hù jì wú rén	捲簾推戶寂無人
juǎn lián wēi shī zài hé huā	捲簾微溼在荷花
juǎn lián yí wàng xīn kān suì	捲簾一望心堪碎
juǎn lián yī zhěn wò kàn shān	捲簾欹枕臥看山
juǎn lián zuó mù dé xīn liáng	捲簾昨暮得新涼
juǎn màn shān quán rù jìng zhōng	卷幔山泉入鏡中
juàn niǎo bù zhī guī qù rì	倦鳥不知歸去日
juàn niǎo gū fēi qǐ yǒu qī	倦鳥孤飛豈有期
juàn niǎo hé nián kě de hái	倦鳥何年可得還
juàn niǎo jiāng guī bù zhī shù	倦鳥將歸不知樹
