niè zhèng	聶政
pān ān	潘安
pān ēn	潘恩
pān fén	潘汾
pān fèng	潘鳳
pān fēng	潘峰
pān hé	潘和
pān jié	潘潔
pān jìng	潘靜
pān jùn	潘濬
pān kē	潘科
pān měi	潘美
pān mǐn	潘敏
pān míng	潘明
pān nī	潘妮
pān qiáng	潘強
pān shū	潘菽
pān shuài	潘帥
pān sù	潘素
pān táng	潘唐
pān wèi	潘蔚
pān xiǎo	潘曉
pān xīng	潘興
pān yán	潘炎
pān yì	潘毅
pān yōng	潘雍
pān yòu	潘佑
pān yuè	潘岳
pān zhāng	潘璋
páng juān	龐涓
péi cuǐ	裴漼
péi dí	裴迪
péi dù	裴度
péi háng	裴航
péi jì	裴寂
péi jǔ	裴矩
péi lín	裴潾
péi qǐ	裴杞
péi qián	裴潛
péi shuō	裴說
péi xiū	裴休
péi xiù	裴秀
péi xū	裴諝
péi yán	裴炎
péi zhì	裴贽
péng pài	彭湃
qí fēi	齊妃
qí huàn	齊浣
qī jī	戚姬
qí jǐ	齊己
qí qín	齊秦
qí tài	齊泰
qí wáng	齊王
qián liú	錢鏐
qiáo bā	喬巴
qiáo dān	喬丹
qiáo fēng	喬峰
qiáo liáng	喬良
qiáo qí	喬琪
qiáo rán	喬燃
qiáo shí	喬石
qiáo sǒu	喬叟
qiáo tuō	喬托
qiáo yǔ	喬羽
qiáo zhì	喬治
qín gāng	秦剛
qín guān	秦觀
qín huì	秦檜
qín huī	秦暉
qín jiā	秦嘉
qín jūn	秦君
qín lǎng	秦朗
qín mì	秦宓
qín qióng	秦瓊
qín shēng	秦升
qín wáng	秦王
qín yuè	秦越
qín zhōng	秦鐘
qín zhòng	秦仲
qiú yīng	仇英
rǎn mǐn	冉閔
rǎn qiú	冉求
rǎn yǒu	冉有
ruǎn jí	阮籍
ruǎn yǔ	阮瑀
ruǎn yuè	阮閱
shàn shēng	單聲
shào huá	邵華
shào yè	邵謁
shào yōng	邵雍
shěn chóng	瀋崇
shěn fēi	沈飛
shěn fù	沈復
shěn hào	沈浩
shěn huì	沈晦
shěn kuò	沈括
shěn liàn	沈煉
shěn miǎo	沈邈
shěn péng	沈鵬
shěn yuē	沈約
shěn zhōu	沈周
shěn zuì	沈醉
shēng yǔn	升允
shī láng	施琅
shī yáng	施洋
sòng cí	宋慈
sòng jiàn	宋健
sòng jiāng	宋江
sòng kē	宋柯
sòng lián	宋濂
sòng píng	宋平
sòng qí	宋祁
sòng wàn	宋萬
sòng wǎn	宋琬
sòng yōng	宋雍
sūn bìn	孫臏
sūn bīn	孫斌
sūn cè	孫策
sūn ēn	孫恩
sūn fáng	孫魴
sūn hào	孫皓
sūn jùn	孫峻
sūn kē	孫科
sūn liàng	孫亮
sūn qián	孫乾
sūn quán	孫權
sūn wén	孫文
sūn wǔ	孫武
sūn wú	孫吳
sūn xiū	孫休
sūn yú	孫瑜
téng fēi	滕飛
wáng bēn	王賁
wáng bì	王弼
wáng bó	王勃
wáng càn	王粲
wáng chōng	王充
wáng chǒng	王寵
wáng dān	王丹
wáng dǎo	王導
wáng dūn	王敦
wáng fú	王符
wáng hàn	王翰
wáng hé	王齕
wāng huá	汪華
wāng huī	汪暉
wáng jí	王吉
wáng jī	王基
wáng jì	王績
wáng jiān	王堅
wáng jiàn	王健
wáng jiǎn	王翦
wáng jiàn	王建
wáng lǎng	王朗
wáng lì	王力
wáng lí	王離
wāng lún	汪倫
wáng lún	王倫
wáng mǎng	王莽
wáng měng	王猛
wáng miǎn	王冕
wáng níng	王寧
wāng shēn	汪莘
wáng shù	王澍
wáng shuò	王朔
wáng sù	王肅
wáng wéi	王維
wáng wēi	王微
wáng xī	王吸
wáng xiàn	王獻
wáng xiáng	王祥
wáng xiū	王脩
wáng xuǎn	王選
wáng yǎn	王衍
wáng yì	王毅
wáng yín	王垠
wáng yǔn	王允
wāng zǎo	汪藻
wāng zhí	汪直
wāng zhuó	汪晫
wāng zūn	汪遵
wáng zuǒ	王佐
wèi dōng	魏東
wèi fú	魏扶
wèi guàn	衛瓘
wèi hóng	魏宏
wèi jì	衛覬
wèi jié	魏傑
wèi kàng	衛伉
wèi kè	魏克
wèi kūn	魏坤
wèi míng	魏明
wèi mó	魏謨
wèi pǔ	魏樸
wèi qǐ	魏杞
wèi qīng	衛青
wèi rǎn	魏冉
wèi shōu	魏收
wèi sī	魏斯
wèi yán	魏延
wèi yuán	魏源
wèi zhé	衛哲
wèi zhēn	衛臻
wèi zhēng	魏徵
wèi zhuāng	衛莊
wēn gé	溫格
wēn gōng	溫公
wēn hóu	溫侯
wēn huī	溫恢
wēn jiào	溫嶠
wēn wáng	溫王
wēn xiàn	溫憲
wú chéng	吳澄
wú fèng	吳鳳
wú guǎng	吳廣
wú hán	吳晗
wú hàn	吳漢
wú mì	吳宓
wú qǐ	吳起
wú sī	吳思
wú wáng	吳王
wú xié	吳邪
wú yòng	吳用
wú zǐ	吳子
xī jīn	奚斤
xī zhòng	奚仲
xiāo bāng	肖邦
xiāo gāng	肖鋼
xiāo hóng	肖紅
xiāo huá	肖華
xiāo nài	肖奈
xiāo qīn	肖欽
xiāo quán	肖全
xiāo yáng	肖揚
xiāo yì	蕭繹
xiāo yì	蕭意
xiāo yì	蕭翼
xiāo yīng	肖鷹
xiè ān	謝安
xiè bīn	謝彬
xiè dān	謝丹
xiè duān	謝端
xiè dùn	謝頓
xiè fēi	謝飛
xiè fēi	謝非
xiè fēng	謝鋒
xiè gōng	謝公
xiè hè	謝赫
xiè huá	謝華
xiè huì	謝晦
xiè jiàng	謝絳
xiè kē	謝科
xiè kē	謝薖
xiè lǎng	謝朗
xiè lěi	謝磊
xiè lín	謝林
xiè mào	謝懋
xiè miǎo	謝邈
xiè píng	謝平
xiè qiān	謝遷
xiè shàng	謝尚
xiè tè	謝特
xiè tiān	謝添
xiè wěi	謝偉
xiè xiè	謝燮
xiè xuán	謝玄
xiè xùn	謝遜
xiè yǎn	謝琰
xiè yǎn	謝偃
xiè yè	謝燁
xú bīng	徐冰
xú chén	徐晨
xǔ chǔ	許褚
xú dá	徐達
xú fēi	徐妃
xú fú	徐福
xǔ fù	許負
xú huǎng	徐晃
xú huì	徐惠
xǔ hún	許渾
xǔ jì	許稷
xǔ jiāng	許將
xǔ jìng	許靖
xú kè	徐克
xú liàng	徐亮
xú miǎo	徐邈
xú míng	徐明
xǔ shèn	許慎
xú shèng	徐盛
xú shù	徐庶
xǔ táng	許棠
xú wèi	徐渭
xǔ xiān	許仙
xú xiáng	徐翔
xú xuān	徐宣
xú yì	徐奕
xǔ yōu	許攸
xǔ yóu	許由
xǔ zhé	許哲
xuē bà	薛霸
xuē féng	薛逢
xuē gāng	薛剛
xuē jì	薛稷
xuē jǔ	薛舉
xuē jù	薛據
xuē lǐ	薛禮
xuē nè	薛訥
xuē néng	薛能
xuē pán	薛蟠
xuē shào	薛紹
xuē shì	薛式
xuē suì	薛燧
xuē tāo	薛濤
xuē xuān	薛瑄
xuē xuě	薛雪
xuē yáng	薛洋
xuē yào	薛曜
xuē yíng	薛瑩
xuē yuè	薛岳
yán ān	閆安
yán bīn	嚴彬
yán fāng	閆芳
yán fáng	閻防
yán fù	嚴復
yán luó	閻羅
yán mó	閻魔
yān qīng	燕青
yán róu	閻柔
yān shùn	燕順
yán sōng	嚴嵩
yán wang	閻王
yán xíng	閻行
yán yàn	閻焱
yán yǔ	閻宇
yán zhì	閻志
yáng dù	楊度
yáng fēi	楊妃
yáng fù	楊阜
yáng guǎng	楊廣
yáng guò	楊過
yáng hóng	楊弘
yáng jiǎn	楊戩
yáng jiān	楊堅
yáng jiàng	楊絳
yáng jiǒng	楊炯
yáng jùn	楊駿
yáng jùn	楊浚
yáng jùn	楊濬
yáng kāng	楊康
yáng kuān	楊寬
yáng kuí	楊逵
yáng kuí	楊夔
yáng láo	楊牢
yáng pǔ	楊樸
yáng rèn	楊任
yáng róng	楊榮
yáng shèn	楊慎
yáng sù	楊素
yáng sǔn	楊損
yáng xióng	楊雄
yáng xiū	楊修
yáng yè	楊業
yáng yí	楊儀
yáng zhāo	楊昭
yáng zhèn	楊震
yáng zhū	楊朱
yáo bīn	姚濱
yáo cháng	姚萇
yáo chóng	姚崇
yáo hé	姚合
yáo hóng	姚泓
yáo hú	姚鵠
yáo jiǎ	姚賈
yáo kuí	姚揆
yáo miǎn	姚勉
yáo mǐn	姚敏
yáo míng	姚明
yáo nài	姚鼐
yáo qiān	姚謙
yáo xiān	姚仙
yáo xiāng	姚襄
yáo xīng	姚興
yáo yáng	姚洋
yáo yíng	姚瑩
yè fán	葉凡
yè fēi	葉飛
yè gōng	葉公
yè guì	葉桂
yè kāi	葉開
yè lán	葉瀾
yè lǎng	葉朗
yè lì	葉莉
yè mào	葉茂
yè méi	葉梅
yè qiū	葉秋
yè qún	葉群
yè shì	葉適
yè shuài	葉帥
yè tán	葉檀
yè tǐng	葉挺
yè wèn	葉問
yè xiū	葉修
yè zhī	葉芝
yóu quán	尤權
yóu tóng	尤侗
yú bīn	俞斌
yú hào	俞浩
yú jìng	余靖
yú jūn	俞軍
yù liàng	鬱亮
yú yú	俞渝
yú yuè	俞樾
yuán ān	袁安
yuán bīn	袁彬
yuán gēng	袁庚
yuán guàn	袁瓘
yuán hóng	袁洪
yuán hóng	袁宏
yuán huàn	袁渙
yuán jiāo	袁郊
yuán kē	袁珂
yuán lǎng	袁朗
yuán lǐn	元凜
yuán méi	袁枚
yuán mǐn	袁敏
yuán shàng	袁尚
yuán shù	袁術
yuán shū	袁殊
yuán tán	袁譚
yuán táo	袁綯
yuán xī	袁熙
yuán yào	袁耀
yuán yīng	袁鷹
yuán yuè	袁岳
zāng bà	臧霸
zāng hóng	臧洪
zēng chéng	曾誠
zēng gǒng	曾鞏
zēng jiāng	曾江
zēng kuí	曾揆
zēng zǐ	曾子
zhāng áo	張敖
zhāng bǎo	張寶
zhāng chǔ	張楚
zhāng chún	張純
zhāng dá	張達
zhāng dài	張岱
zhāng ěr	張耳
zhāng fàn	張範
zhāng fēi	張飛
zhāng fēi	張菲
zhāng gā	張嘎
zhāng hé	張郃
zhāng héng	張衡
zhāng hóng	張紘
zhāng huá	張華
zhāng jì	張繼
zhāng jí	張籍
zhāng jì	張濟
zhāng jì	張既
zhāng jiǎn	張謇
zhāng jiǎo	張角
zhāng jié	張潔
zhāng jǔ	張矩
zhāng kǎi	張闓
zhāng lěi	張磊
zhāng liàng	張亮
zhāng liáng	張良
zhāng lǔ	張魯
zhāng mào	張茂
zhāng níng	張寧
zhāng qiān	張騫
zhāng shuō	張說
zhāng sōng	張松
zhāng tíng	張庭
zhāng wěi	張煒
zhāng xiù	張繡
zhāng xù	張旭
zhāng xuán	張懸
zhāng xūn	張勳
zhāng xún	張巡
zhāng yì	張毅
zhāng yí	張儀
zhāng yí	張嶷
zhāng yǔ	張宇
zhāng zài	張載
zhāng zhāo	張昭
zhāng zhào	張照
zhāng zhèn	張震
