zì jǐ dǎ de	自己打的
bái yún shéi lǚ	白雲誰侶
bèi shéi pāo qì	被誰拋棄
bèi shéi shā le	被誰殺了
bèi shéi tiáo xì	被誰調戲
bǐ shéi dōu duō	比誰都多
bǐ shéi dōu kuài	比誰都快
biàn chéng le shéi	變成了誰
bù bǐ shéi ruò	不比誰弱
bù cháo xiào shéi	不嘲笑誰
bù huái yí shéi	不懷疑誰
bù zhī dào shéi	不知道誰
cāi wǒ shì shéi	猜我是誰
céng gòng shéi yǐ	曾共誰倚
chàng gěi shéi tīng	唱給誰聽
chū zì shéi shǒu	出自誰手
cǐ hèn shéi zhī	此恨誰知
cǐ qíng shéi huì	此情誰會
cǐ qíng shéi tuō	此情誰託
dǎi shéi yǎo shéi	逮誰咬誰
dàn shéi céng xiǎng	但誰曾想
dāng nián shéi zhǒng	當年誰種
dàng shì shéi ne	當是誰呢
dào dǐ tóu shéi	到底投誰
de nǐ hé shéi	的你和誰
dé zuì le shéi	得罪了誰
dōu shéi néng lái	都誰能來
dōu shéi zài a	都誰在啊
dōu yǒu shéi le	都有誰了
dōu yǒu shéi qù	都有誰去
dōu yǒu shéi zài	都有誰在
dōu yǒu xiē shéi	都有些誰
duì bù qǐ shéi	對不起誰
duì shéi dōu hǎo	對誰都好
é méi shéi dù	蛾眉誰妒
fā gěi shéi le	發給誰了
fān shéi pái zi	翻誰牌子
fēi bàng shéi jiā	飛傍誰家
fēi shéi bù kě	非誰不可
fēi xiàng shéi jiā	飛向誰家
fēn bù chū shéi	分不出誰
fēn fù tā shéi	分付他誰
fū shéi wèi jù	夫誰畏懼
gāi guī shéi guǎn	該歸誰管
gāi xiāng xìn shéi	該相信誰
gěi bié rén shéi	給別人誰
gěi shéi kàn ne	給誰看呢
gěi shéi mǎi ne	給誰買呢
gēn shéi dǔ qì	跟誰賭氣
gēn shéi liǎ ne	跟誰倆呢
gēn shéi liáo ne	跟誰聊呢
gēn shéi yǒu chóu	跟誰有仇
gēng wéi shéi xiū	更為誰羞
gèng xǐ huān shéi	更喜歡誰
gèng yǒu shéi zhī	更有誰知
gòng shéi tóng háng	共誰同航
guān xīn guò shéi	關心過誰
guī shéi guǎn a	歸誰管啊
hā shéi zhī dào	哈誰知道
hái yǒu nà shéi	還有那誰
hái yǒu shéi le	還有誰了
hái yǒu shéi qù	還有誰去
hái yǒu shéi zài	還有誰在
hái zi xiàng shéi	孩子像誰
hé shéi jiāo wǎng	和誰交往
hé shéi jié hūn	和誰結婚
hé shéi liáo le	和誰聊了
hé shéi liáo ne	和誰聊呢
hé shéi liáo tiān	和誰聊天
hé shéi qù de	和誰去的
hé shéi qù le	和誰去了
hé shéi wán ne	和誰玩呢
hé shéi yì qǐ	和誰一起
hé shéi zài jiā	和誰在家
hé shéi zài liáo	和誰在聊
huā luò shéi jiā	花落誰家
huì shì shéi ne	會是誰呢
huì xuǎn zé shéi	會選擇誰
jì mò shéi tóng	寂寞誰同
jiàn shéi miǎo shéi	見誰秒誰
jiě zǔ shéi bī	解組誰逼
jīn qiàn shéi wēn	今倩誰溫
jīn shéi cún zhě	今誰存者
jiù gěi shéi chī	就給誰吃
jiù mài gěi shéi	就賣給誰
jué yàn shéi lián	絕艷誰憐
jūn shéi yǔ shǒu	君誰與守
kāi kǒu shéi qīn	開口誰親
kàn bù chū shéi	看不出誰
kàn bù guàn shéi	看不慣誰
kàn bù qǐ shéi	看不起誰
kàn bu qīng shéi	看不清誰
kàn chū lái shéi	看出來誰
kàn de qǐ shéi	看得起誰
kàn kàn shéi xiān	看看誰先
kàn kàn shéi yìng	看看誰硬
kàn shéi dōu xiàng	看誰都像
kàn shéi xiān dé	看誰先得
kàn shéi xiān sǐ	看誰先死
kě shéi xiǎng dào	可誰想到
kě shéi zhī dào	可誰知道
lí bù kāi shéi	離不開誰
lián yǐng shéi yáo	簾影誰搖
lù sǐ shéi shǒu	鹿死誰手
mài gěi le shéi	賣給了誰
mài gěi shéi le	賣給誰了
mǎn tíng shéi sǎo	滿庭誰掃
méi kàn hǎo shéi	沒看好誰
míng nián shéi jiàn	明年誰健
míng zhī zhě shéi	名之者誰
mò gǎn shéi hé	莫敢誰何
mò zhī shéi hé	莫之誰何
nà gè shéi shéi	那個誰誰
nà shì shéi de	那是誰的
nà shì shéi le	那是誰了
nà shéi dào le	那誰到了
nà shéi shéi shéi	那誰誰誰
nà shéi zhī dào	那誰知道
néng dài biǎo shéi	能代表誰
nǐ cāi shì shéi	你猜是誰
nǐ gēn shéi guò	你跟誰過
nǐ gēn shéi liǎ	你跟誰倆
nǐ guǎn tā shéi	你管他誰
nǐ hé shéi guò	你和誰過
nǐ jué de shéi	你覺得誰
nǐ kàn hǎo shéi	你看好誰
nǐ mà shéi de	你罵誰的
nǐ mǎi de shéi	你買的誰
nǐ mǎi le shéi	你買了誰
nǐ men liǎ shéi	你們倆誰
nǐ néng duì shéi	你能對誰
nǐ rèn shi shéi	你認識誰
nǐ shì shéi la	你是誰啦
nǐ shì shéi le	你是誰了
nǐ shì shéi me	你是誰麼
nǐ shì shéi ya	你是誰呀
nǐ shéi a nǐ	你誰啊你
nǐ shéi dōu pà	你誰都怕
nǐ shéi yí gè	你誰一個
nǐ shuō shéi de	你說誰的
nǐ wèi le shéi	你為了誰
nǐ xī hǎn shéi	你稀罕誰
nǐ xǐ huān shéi	你喜歡誰
nǐ xiān jiù shéi	你先救誰
nǐ xiǎng yào shéi	你想要誰
nǐ yòu shì shéi	你又是誰
nǐ yù jiàn shéi	你遇見誰
nǐ zài xiǎng shéi	你在想誰
nǐ zhǎo shéi ya	你找誰呀
nǐ zhī chí shéi	你支持誰
nǐ zhī dào shéi	你知道誰
ó nà gè shéi	哦那個誰
píng shéi miào bǐ	憑誰妙筆
qí shéi cóng yān	其誰從焉
qí shéi zhī zhī	其誰知之
qiàn shéi zhāi qǔ	倩誰摘取
qiáo bù qǐ shéi	瞧不起誰
qīng yùn shéi qiāo	清韻誰敲
rèn bù chū shéi	認不出誰
rén shéi wú guò	人誰無過
rén zài shéi biān	人在誰邊
shě nǐ qí shéi	捨你其誰
shě tā qí shéi	捨他其誰
shě wǒ fù shéi	舍我復誰
shě wǒ qí shéi	捨我其誰
shēng fù shì shéi	生父是誰
shēng mǔ shì shéi	生母是誰
shī fu shì shéi	師父是誰
shì shū gěi shéi	是輸給誰
shì shéi de cuò	是誰的錯
shì shéi de guō	是誰的鍋
shì shéi zhào de	是誰照的
shū shéi kàn guò	書誰看過
shéi bàn gū yín	誰伴孤吟
shéi bāng bāng wǒ	誰幫幫我
shéi bāng wǒ shōu	誰幫我收
shéi bāng wǒ zhǎo	誰幫我找
shéi bǐ dé shàng	誰比得上
shéi bǐ jiào hǎo	誰比較好
shéi bǐ shéi qiáng	誰比誰強
shéi bǐ wǒ shuài	誰比我帥
shéi bú ài ne	誰不愛呢
shéi bù dǒng a	誰不懂啊
shéi bú huì a	誰不會啊
shéi bù lǐ nǐ	誰不理你
shéi bú qiàn shéi	誰不欠誰
shéi bú shì de	誰不是的
shéi bú shì yǒu	誰不是有
shéi bú xìn ne	誰不信呢
shéi bú yào liǎn	誰不要臉
shéi bù zhuó jué	誰不着覺
shéi céng xiǎng dào	誰曾想到
shéi céng xiǎng guò	誰曾想過
shéi chàng de le	誰唱的了
shéi chī de fàn	誰吃的飯
shéi chù duì xiàng	誰處對象
shéi chuán dào zhī	誰傳道之
shéi chuān shéi měi	誰穿誰美
shéi dǎ kāi de	誰打開的
shéi dā lǐ nǐ	誰搭理你
shéi dà shéi xiǎo	誰大誰小
shéi dài hái zi	誰帶孩子
shéi de ài qíng	誰的愛情
shéi de chē shēn	誰的車身
shéi de chū wěn	誰的初吻
shéi de dàn gāo	誰的蛋糕
shéi de dì fāng	誰的地方
shéi de diàn huà	誰的電話
shéi de diàn nǎo	誰的電腦
shéi de ér zi	誰的兒子
shéi de fáng zi	誰的房子
shéi de fěn sī	誰的粉絲
shéi de fù mǔ	誰的父母
shéi de gōng láo	誰的功勞
shéi de gù shì	誰的故事
shéi de hái zi	誰的孩子
shéi de hǎo a	誰的好啊
shéi de hǎo kàn	誰的好看
shéi de lì shǐ	誰的歷史
shéi de mā ma	誰的媽媽
shéi de míng piàn	誰的名片
shéi de míng zì	誰的名字
shéi de nǚ ér	誰的女兒
shéi de pí fū	誰的皮膚
shéi de qī zǐ	誰的妻子
shéi de qīng chūn	誰的青春
shéi de rén shēng	誰的人生
shéi de shēn tǐ	誰的身體
shéi de shēng huó	誰的生活
shéi de shēng yīn	誰的聲音
shéi de shǒu jī	誰的手機
shéi de shǒu lǐ	誰的手裡
shéi de wèn tí	誰的問題
shéi de yǎn jīng	誰的眼睛
shéi de yǎn lèi	誰的眼淚
shéi de zào xíng	誰的造型
shéi de zuì hǎo	誰的最好
shéi dǐng dé zhù	誰頂得住
shéi dǒng wǒ xīn	誰懂我心
shéi dōu bù fú	誰都不服
shéi dōu bù lǐ	誰都不理
shéi dōu bù shǎ	誰都不傻
shéi dōu rèn shi	誰都認識
shéi duō shéi shǎo	誰多誰少
shéi è dǔ zi	誰餓肚子
shéi fā míng de	誰發明的
shéi fù dé qǐ	誰負得起
shéi fù gāng cháng	誰負剛腸
shéi fù le shéi	誰負了誰
shéi fù zé a	誰負責啊
shéi gāi fù zé	誰該負責
shéi gǎn bù fú	誰敢不服
shéi gǎn dǎng guān	誰敢擋關
shéi gàn dé hǎo	誰幹得好
shéi gǎn dòng wǒ	誰敢動我
shéi gǎo de guǐ	誰搞的鬼
shéi gào nǐ de	誰告你的
shéi gào sù nǐ	誰告訴你
shéi gào sù wǒ	誰告訴我
shéi gè bù xiǎo	誰個不曉
shéi gěi de a	誰給的啊
shéi gěi le nǐ	誰給了你
shéi gēn shéi ya	誰跟誰呀
shéi gèng chū sè	誰更出色
shéi gèng cōng míng	誰更聰明
shéi gèng hǎo kàn	誰更好看
shéi gèng hé shì	誰更合適
shéi gèng kě ài	誰更可愛
shéi gèng piào liang	誰更漂亮
shéi gèng róng yì	誰更容易
shéi gèng shì hé	誰更適合
shéi gèng shuài ne	誰更帥呢
shéi gèng wěi dà	誰更偉大
shéi gèng wú liáo	誰更無聊
shéi gèng yǒu qián	誰更有錢
shéi gèng yōu xiù	誰更優秀
shéi gèng zhòng yào	誰更重要
shéi gōng shéi shòu	誰攻誰受
shéi guǎn de zháo	誰管得着
shéi guī dìng de	誰規定的
shéi hái dǎ pái	誰還打牌
shéi hái yǐ wéi	誰還以為
shéi hé nǐ zài	誰和你在
shéi hé wǒ kāi	誰和我開
shéi hé wǒ yuē	誰和我約
shéi huì dā lǐ	誰會搭理
shéi huǐ shéi yù	誰毀誰譽
shéi jì xiāng sī	誰寄相思
shéi jiā bì rén	誰家璧人
shéi jiā de gǒu	誰家的狗
shéi jiā de le	誰家的了
shéi jiā shū lì	誰家姝麗
shéi jiā xiǎo yuàn	誰家小院
shéi jiā zhǒng de	誰家種的
shéi jiǎng guò wǒ	誰講過我
shéi jiào nǐ de	誰教你的
shéi jiào nǐ shǒu	誰叫你手
shéi jié hūn ne	誰結婚呢
shéi jiù zhǐ huī	誰就指揮
shéi kāi de fáng	誰開的房
shéi káng de zhù	誰扛得住
shéi kě zhī dào	誰可知道
shéi kēng nǐ le	誰坑你了
shéi lái jiē bān	誰來接班
shéi lái jiù wǒ	誰來救我
shéi lái zhǔ zǎi	誰來主宰
shéi lái zǔ zhǐ	誰來阻止
shéi lán dé zhù	誰攔得住
shéi lì hài ne	誰厲害呢
shéi lián yāo zhé	誰憐夭折
shéi lín wǎn tiào	誰臨晚眺
shéi lǐng fēng sāo	誰領風騷
shéi mà nǐ le	誰罵你了
shéi méi diǎn er	誰沒點兒
shéi méi shì er	誰沒事兒
shéi méi yǒu ài	誰沒有愛
shéi méi yǒu diē	誰沒有爹
shéi méi yǒu niáng	誰沒有娘
shéi méi yǒu qíng	誰沒有情
shéi nà me zǎo	誰那麼早
shéi nǎ zhī dào	誰哪知道
shéi néng bù tīng	誰能不聽
shéi néng cāi dào	誰能猜到
shéi néng dǎng wǒ	誰能擋我
shéi néng jí zhī	誰能極之
shéi néng jiě kāi	誰能解開
shéi néng jìn jí	誰能晉級
shéi néng jìn shàn	誰能盡善
shéi néng xiàng nǐ	誰能像你
shéi niàn xíng rén	誰念行人
shéi pà shéi le	誰怕誰了
shéi pà shéi ya	誰怕誰呀
shéi pǎo dé kuài	誰跑得快
shéi péi nǐ dǎ	誰陪你打
shéi pī zhǔn dì	誰批准的
shéi piàn nǐ le	誰騙你了
shéi pǐn chūn cí	誰品春詞
shéi qī fù nǐ	誰欺負你
shéi qī fù shéi	誰欺負誰
shéi qiáng shéi ruò	誰強誰弱
shéi qīng shéi zhòng	誰輕誰重
shéi qiú zhī dào	誰求知道
shéi qù dǎ qiú	誰去打球
shéi qǔ dào nǐ	誰娶到你
shéi qù gěi wǒ	誰去給我
shéi qù shéi liú	誰去誰留
shéi ràng nǐ pèng	誰讓你碰
shéi ràng nǐ yā	誰讓你丫
shéi rě nǐ le	誰惹你了
shéi rén bù xiǎo	誰人不曉
shéi rèn shi nǐ	誰認識你
shéi róng shéi rǔ	誰榮誰辱
shéi rù dì yù	誰入地獄
shéi shā le shéi	誰殺了誰
shéi shāng le nǐ	誰傷了你
shéi shàng shéi xià	誰上誰下
shéi shāo huǐ de	誰燒毀的
shéi shǎo shéi duō	誰少誰多
shéi shèng shéi bài	誰勝誰敗
shéi shèng shéi fù	誰勝誰負
shéi shēng shéi sǐ	誰生誰死
shéi shèng suàn dà	誰勝算大
shéi shēng xià lái	誰生下來
shéi shì shǎ mào	誰是傻冒
shéi shì shǎ zi	誰是傻子
shéi shǐ shén zhōu	誰使神州
shéi shì shǒu fù	誰是首富
shéi shì shéi de	誰是誰的
shéi shì shéi fēi	誰是誰非
shéi shì xián rén	誰是閒人
shéi shì zhī xīn	誰是知心
shéi shì zhī yīn	誰是知音
shéi shì zhǔ rén	誰是主人
shéi shòu dé liǎo	誰受得了
shéi shéi shéi qù	誰誰誰去
shéi shéi shéi shéi	誰誰誰誰
shéi shuō de a	誰說的啊
shéi shuō de le	誰說的了
shéi shuō de qīng	誰說的清
shéi shuō de ya	誰說的呀
shéi shuō huǎng le	誰說謊了
shéi sǐ lù shǒu	誰死鹿手
shéi sǐ shéi huó	誰死誰活
shéi sòng guò lái	誰送過來
shéi suàn jì shéi	誰算計誰
shéi suǒ jí yān	誰所極焉
shéi tā mā de	誰他媽的
shéi tā mā xìn	誰他媽信
shéi tōu le wǒ	誰偷了我
shéi wán dé guò	誰玩得過
shéi wéi qíng zhǒng	誰為情種
shéi wéi wéi zhī	誰為為之
shéi wèn qí tíng	誰問旗亭
shéi wǒ xǐ huān	誰我喜歡
shéi xǐ huān shéi	誰喜歡誰
shéi xià dì yù	誰下地獄
shéi xiàn cān luán	誰羨驂鸞
shéi xiān dòng shǒu	誰先動手
shéi xiān kāi kǒu	誰先開口
shéi xiān shéi hòu	誰先誰後
shéi xiān zhǔ dòng	誰先主動
shéi xiǎng dé dào	誰想得到
shéi xiàng nǐ a	誰像你啊
shéi xiàng nǐ men	誰像你們
shéi xiǎng tīng nǐ	誰想聽你
shéi ya shéi ya	誰呀誰呀
shéi yán cùn cǎo	誰言寸草
shéi yán qióng shù	誰言瓊樹
shéi yán rén yì	誰言人易
shéi yě bù fú	誰也不服
shéi yě bù lǐ	誰也不理
shéi yě bú nòng	誰也不弄
shéi yí huì er	誰一會兒
shéi yòu bú shì	誰又不是
shéi yòu fù huó	誰又復活
shéi yòu shì shéi	誰又是誰
shéi yōu shéi liè	誰優誰劣
shéi yòu zài hū	誰又在乎
shéi yòu zhī dào	誰又知道
shéi yǔ gòng yǐn	誰與共飲
shéi yǔ wēn cún	誰與溫存
shéi yǔ zhēng fēng	誰與爭鋒
shéi yǔ zhēng fēng	誰與爭瘋
shéi yǔ zhēng fēng	誰與爭風
shéi yú zhēng fēng	誰於爭鋒
shéi yǔ zhēng gōng	誰與爭功
shéi yuàn wéi shǒu	誰願為首
shéi zài bèi hòu	誰在背後
shéi zài běi jīng	誰在北京
shéi zài chàng gē	誰在唱歌
shéi zài dǎ wǒ	誰在打我
shéi zài fēng zhōng	誰在風中
shéi zài háng zhōu	誰在杭州
shéi zài hū huàn	誰在呼喚
shéi zài hū ne	誰在乎呢
shéi zài hū nǐ	誰在乎你
shéi zài jǐ nán	誰在濟南
shéi zài jiā de	誰在家的
shéi zài làng fèi	誰在浪費
shéi zài lǐ miàn	誰在裡面
shéi zài luǒ yǒng	誰在裸泳
shéi zài nà lǐ	誰在那裡
shéi zài qiū qiān	誰在鞦韆
shéi zài sā huǎng	誰在撒謊
shéi zài shuō huà	誰在說話
shéi zài shuō huǎng	誰在說謊
shéi zài tī nǐ	誰在踢你
shéi zài wǔ hàn	誰在武漢
shéi zài xī ān	誰在西安
shéi zài yì qǐ	誰在一起
shéi zài yì wǒ	誰在意我
shéi zài zhè lǐ	誰在這裡
shéi zài zhuī nǐ	誰在追你
shéi zěn me shuō	誰怎麼說
shéi zhào de ya	誰照的呀
shéi zhào gù nǐ	誰照顧你
shéi zhāo nǐ le	誰招你了
shéi zhè me zǎo	誰這麼早
shéi zhēn shéi jiǎ	誰真誰假
shéi zhī dào a	誰知道啊
shéi zhī dào de	誰知道的
shéi zhī dào lái	誰知道來
shéi zhī dào le	誰知道了
shéi zhī dào lǐ	誰知道裏
shéi zhī dào nà	誰知道吶
shéi zhī dào nà	誰知到那
shéi zhī dào náng	誰知道囊
shéi zhī dào ne	誰知道呢
shéi zhī dào nǐ	誰知道你
shéi zhī dào qù	誰知道去
shéi zhī dào shá	誰知道啥
shéi zhī dào yě	誰知道也
shéi zhī jiāo yǎng	誰知嬌養
shéi zhī qí shù	誰知其數
shéi zhǐ shǐ nǐ	誰指使你
shéi zhī wǒ xīn	誰知我心
shéi zhī yún lù	誰知雲路
shéi zhī zuó tiān	誰知昨天
shéi zhǔ chén fú	誰主沉浮
shéi zhǔ fú chén	誰主浮沉
shéi zhǔ jūn xīn	誰主君心
shéi zhǔ tiān xià	誰主天下
shéi zhù yuàn le	誰住院了
shéi zhǔ zhōng yuán	誰主中原
shéi zǒu shéi liú	誰走誰留
shéi zǔ zhī de	誰組織的
shéi zuì dài zhǒng	誰最帶種
shéi zuò de fàn	誰做的飯
shuō gěi shéi tīng	說給誰聽
shuō shéi ne nǐ	說誰呢你
tā shì shéi a	她是誰啊
tā shì shéi a	他是誰啊
tā shì shéi ya	他是誰呀
tīng shéi chàng de	聽誰唱的
tīng shéi shuō de	聽誰說的
tīng shéi shuō le	聽誰說了
wàng jì le shéi	忘記了誰
wéi shéi ér míng	為誰而鳴
wéi shéi ér zhàn	為誰而戰
wéi shéi ér zuò	為誰而做
wéi shéi níng zhù	為誰凝佇
wéi shéi pān zhé	為誰攀折
wèn huā xiào shéi	問花笑誰
wèn nǐ wèn shéi	問你問誰
wǒ gēn shéi guò	我跟誰過
wǒ shì shéi de	我是誰的
wǒ shì shéi ya	我是誰呀
wǒ wèn shéi qù	我問誰去
wǒ xiāng xìn shéi	我相信誰
wǒ zhǎo shéi qù	我找誰去
wǒ zhǎo shéi rě	我找誰惹
xià bù liǎo shéi	嚇不了誰
xiǎng qiā sǐ shéi	想掐死誰
xiàng shéi qīng sù	向誰傾訴
xīn lǐ bǐ shéi	心裡比誰
xīn shì shéi tóng	心事誰同
xīn shì shéi zhī	心事誰知
xìng shèn míng shéi	姓甚名誰
yǎn gěi shéi kàn	演給誰看
yě méi shéi le	也沒誰了
yǐ wéi shì shéi	以為是誰
yǐ wéi shéi ne	以為誰呢
yòng de shéi de	用的誰的
yòu huì shì shéi	又會是誰
yǒu méi yǒu shéi	有沒有誰
yòu shā le shéi	又殺了誰
yóu shéi chéng dān	由誰承擔
yóu shéi fù zé	由誰負責
yǒu shéi huì dǒng	有誰會懂
yòu shéi jiù yě	又誰咎也
yóu shéi lái zuò	由誰來做
yǒu shéi néng dǒng	有誰能懂
yǒu shéi rèn shi	有誰認識
yǒu shéi shéi shéi	有誰誰誰
yǒu shéi zhēn dé	有誰真得
yù píng shéi shěng	欲憑誰省
yǔ shéi gòng mián	與誰共眠
yǔ shéi tóng xíng	與誰同行
yǔ shéi tóng qù	與誰同去
yǔ shéi tóng zuò	與誰同坐
yǔ shéi xiāng yǐ	與誰相倚
yuàn shéi shǐ dé	怨誰始得
zài xiǎng shì shéi	在想是誰
zài yì guò shéi	在意過誰
zé rèn zài shéi	責任在誰
zhǎng de xiàng shéi	長得像誰
zhǎo bù chū shéi	找不出誰
zhāo shéi rě shéi	招誰惹誰
zhè ge shéi dǒng	這個誰懂
zhè shì shéi de	這是誰的
zhè shì shéi la	這是誰啦
zhè shì shéi le	這是誰了
zhè shì shéi ma	這是誰嗎
zhè shì shéi ya	這是誰呀
zhè shéi jiā wá	這誰家娃
zhè shéi shuō huà	這誰說話
zhè shéi zuò de	這誰做的
zhēng dào shéi jiā	爭道誰家
zhǐ de shì shéi	指的是誰
zhōng rì shéi lái	終日誰來
zhōu yōu shéi zhū	周幽誰誅
zhǔ rén shì shéi	主人是誰
zhuàn shéi de qián	賺誰的錢
zhuāng gěi shéi kàn	裝給誰看
zhǔn bù zhǔn shéi	準不準誰
zhuō tù	捉兔
bái shí tǎ	白石塔
bǎn dèng kuān	板凳寬
biǎn dàn cháng	扁擔長
bō jú zi	剝桔子
cháng liàn xí	常練習
chéng yú chì	盛魚翅
cù shī bù	醋濕布
dǎ bà qiū	打罷秋
dǎ fān cù	打翻醋
dǎ le cù	打了醋
dēng yìng xīng	燈映星
dì di shuō	弟弟說
dǒng liǎng jiā	董兩家
fàng xià bù	放下布
fēi le yīng	飛了鷹
fěn fèng huáng	粉鳳凰
gàn bú gàn	幹不幹
gān bù gān	幹不幹
gē ge shuō	哥哥說
gē xià cù	擱下醋
hóng fèng huáng	紅鳳凰
huā fèng huáng	花鳳凰
huā niǎo jiào	花鳥叫
huáng fèng huáng	黃鳳凰
jiē zhù dòu	接住豆
jiǔ chóng tiān	九重天
liǎng gè bā	兩個八
liǎng gè bái	兩個白
liǎng gè bǎi	兩個百
liǎng gè bèi	兩個貝
liǎng gè bǐ	兩個比
liǎng gè bǐ	兩個匕
liǎng gè bǐng	兩個秉
liǎng gè bù	兩個不
liǎng gè cāng	兩個倉
liǎng gè chāng	兩個昌
liǎng gè cháo	兩個巢
liǎng gè chè	兩個屮
liǎng gè chē	兩個車
liǎng gè chén	兩個臣
liǎng gè chǐ	兩個齒
liǎng gè chóng	兩個蟲
liǎng gè chuān	兩個巛
liǎng gè chuàn	兩個串
liǎng gè cì	兩個朿
liǎng gè dà	兩個大
liǎng gè dǎi	兩個歹
liǎng gè dāi	兩個呆
liǎng gè dōng	兩個東
liǎng gè èr	兩個二
liǎng gè ér	兩個而
liǎng gè ěr	兩個耳
liǎng gè fán	兩個凡
liǎng gè fēi	兩個飛
liǎng gè fēng	兩個風
liǎng gè fū	兩個夫
liǎng gè fú	兩個巿
liǎng gè fú	兩個畐
liǎng gè gàn	兩個乾
liǎng gè gē	兩個戈
liǎng gè gōng	兩個弓
liǎng gè gǔ	兩個古
liǎng gè guā	兩個瓜
liǎng gè guǒ	兩個果
liǎng gè hàn	兩個𢎘
liǎng gè hé	兩個禾
liǎng gè hù	兩個戶
liǎng gè hǔ	兩個虎
liǎng gè huǒ	兩個火
liǎng gè jì	兩個彐
liǎng gè jí	兩個吉
liǎng gè jǐ	兩個幾
liǎng gè jì	兩個旡
liǎng gè jiàn	兩個見
liǎng gè jié	兩個卪
liǎng gè jīn	兩個巾
liǎng gè jīn	兩個金
liǎng gè jīn	兩個斤
liǎng gè jǐng	兩個井
liǎng gè jìng	兩個竟
liǎng gè jìng	兩個競
liǎng gè jiǔ	兩個九
liǎng gè jù	兩個句
liǎng gè kǒu	兩個口
liǎng gè lái	兩個來
liǎng gè lái	兩個來
liǎng gè lǎo	兩個老
liǎng gè lì	兩個力
liǎng gè lì	兩個立
liǎng gè lì	兩個隸
liǎng gè lóng	兩個龍
liǎng gè lóng	兩個龍
liǎng gè mǎ	兩個馬
liǎng gè mǎ	兩個馬
liǎng gè máo	兩個毛
liǎng gè mǐ	兩個米
liǎng gè miàn	兩個麵
liǎng gè míng	兩個明
liǎng gè móu	兩個牟
liǎng gè mǔ	兩個母
liǎng gè mù	兩個木
liǎng gè mù	兩個目
liǎng gè nán	兩個男
liǎng gè nǐ	兩個𡥦
liǎng gè niàn	兩個廿
liǎng gè niàn	兩個卄
liǎng gè niǎo	兩個鳥
liǎng gè niú	兩個牛
liǎng gè nǚ	兩個女
liǎng gè pài	兩個𠂢
liǎng gè piàn	兩個片
liǎng gè qǐ	兩個啓
liǎng gè qī	兩個桼
liǎng gè qí	兩個奇
liǎng gè qǐ	兩個乞
liǎng gè qiàn	兩個欠
liǎng gè qiān	兩個僉
liǎng gè qū	兩個區
liǎng gè quǎn	兩個犬
liǎng gè qūn	兩個夋
liǎng gè rén	兩個人
liǎng gè rì	兩個日
liǎng gè rù	兩個入
liǎng gè sà	兩個卅
liǎng gè shān	兩個山
liǎng gè shàn	兩個善
liǎng gè shé	兩個舌
liǎng gè shēn	兩個申
liǎng gè shēng	兩個生
liǎng gè shī	兩個屍
liǎng gè shí	兩個石
liǎng gè shì	兩個示
liǎng gè shǐ	兩個豕
liǎng gè shǒu	兩個手
liǎng gè shù	兩個束
liǎng gè shuǐ	兩個水
liǎng gè sī	兩個厶
liǎng gè tián	兩個田
liǎng gè tiān	兩個天
liǎng gè tǔ	兩個土
liǎng gè wǎng	兩個罒
liǎng gè wáng	兩個王
liǎng gè wù	兩個兀
liǎng gè wǔ	兩個㐅
liǎng gè xī	兩個夕
liǎng gè xí	兩個習
liǎng gè xī	兩個昔
liǎng gè xǐ	兩個喜
liǎng gè xiān	兩個㔾
liǎng gè xiān	兩個先
liǎng gè xiāng	兩個香
liǎng gè xiǎng	兩個享
liǎng gè xīn	兩個心
liǎng gè xīn	兩個辛
liǎng gè xiōng	兩個兄
liǎng gè xuán	兩個玄
liǎng gè yá	兩個牙
liǎng gè yán	兩個言
liǎng gè yán	兩個炎
liǎng gè yáng	兩個羊
liǎng gè yāo	兩個幺
liǎng gè yáo	兩個堯
liǎng gè yī	兩個一
liǎng gè yì	兩個乂
liǎng gè yǐ	兩個乙
liǎng gè yì	兩個亦
liǎng gè yì	兩個易
liǎng gè yì	兩個㣇
liǎng gè yì	兩個邑
liǎng gè yīn	兩個音
liǎng gè yǐn	兩個尹
liǎng gè yǒng	兩個永
liǎng gè yòu	兩個又
liǎng gè yú	兩個魚
liǎng gè yú	兩個餘
liǎng gè yǔ	兩個予
liǎng gè yú	兩個禺
liǎng gè yuè	兩個月
liǎng gè yuē	兩個曰
liǎng gè zhēn	兩個真
liǎng gè zhǐ	兩個止
liǎng gè zhī	兩個支
liǎng gè zhī	兩個隻
liǎng gè zhì	兩個至
liǎng gè zhuī	兩個隹
liǎng gè zi	兩個子
liǎng gè zǒu	兩個走
liǎng gè zú	兩個足
liǎng gè zuǒ	兩個左
mǎi le bù	買了布
nà shì chán	那是蟬
pǎo le tù	跑了兔
qīng pú táo	青葡萄
rèn zhēn xué	認真學
rú wù lǐ	如霧裏
ruǎn shé tou	軟舌頭
sān gè bái	三個白
sān gè bǎi	三個百
sān gè bǎo	三個寶
sān gè bèi	三個貝
sān gè chè	三個屮
sān gè chē	三個車
sān gè chóng	三個蟲
sān gè chóng	三個䖝
sān gè cì	三個朿
sān gè dà	三個大
sān gè dāo	三個刀
sān gè dòng	三個動
sān gè dòu	三個鬥
sān gè ěr	三個耳
sān gè fāng	三個方
sān gè fēi	三個飛
sān gè fēng	三個風
sān gè gài	三個蓋
sān gè gè	三個個
sān gè gōng	三個弓
