shū luǎn guǎn ái	输卵管癌
dài xiè lèi jí bìng	代谢类疾病
dài zhuàng jiǎo mó bìng	带状角膜病
dài zhuàng yín xiè bìng	带状银屑病
dān chún xìng yǎng zhěn	单纯性痒疹
dǎn dào huí chóng bìng	胆道蛔虫病
dǎn dào huí chóng zhèng	胆道蛔虫症
dǎn dào jiǎn yā shù	胆道减压术
dǎn dào xī chóng bìng	胆道吸虫病
dǎn dào yuán wèi ái	胆道原位癌
dǎn fǔ yù rè zhèng	胆腑郁热证
dǎn guǎn yí zhí shù	胆管移植术
dǎn guǎn zhōu wéi yán	胆管周围炎
dǎn huǒ shàng nì zhèng	胆火上逆证
dān jí diàn zhuó shù	单极电灼术
dān jí shén jīng yuán	单极神经元
dǎn jìng dǎn shí shù	胆镜胆石术
dǎn jīng yù rè zhèng	胆经郁热证
dān kǒng fù qiāng jìng	单孔腹腔镜
dǎn lòu qiē chú shù	胆瘘切除术
dǎn náng jī xiàn zhèng	胆囊肌腺症
dǎn shí zōng hé zhēng	胆石综合征
dǎn xīn zōng hé zhēng	胆心综合征
dān xíng xìng xiàn liú	单形性腺瘤
dǎn yù tán rǎo zhèng	胆郁痰扰证
dān zhī gǔ mó yán	单肢骨膜炎
dǎn zhī yù jī zhèng	胆汁郁积症
dǎn zǒng guǎn jī xíng	胆总管畸形
dǎn zǒng guǎn náng zhǒng	胆总管囊肿
dǎn zǒng guǎn zào yǐng	胆总管造影
dāng luò zōng hé zhēng	当洛综合征
dào dé èr shì bìng	道德二氏病
dǎo guǎn chā rù shù	导管插入术
dào jié chì làn zhèng	倒睫赤烂症
dào jié juǎn máo bìng	倒睫卷毛病
dé kuí ěr wàn bìng	德奎尔万病
dé wéi kè shì bìng	德维克氏病
dèng bó èr shì zhēng	邓伯二氏征
dèng gǔ chóng jiàn shù	镫骨重建术
dǐ duàn shàng jìng mài	底段上静脉
dǐ duàn xià jìng mài	底段下静脉
dǐ duàn zǒng jìng mài	底段总静脉
dì duì nǎo shén jīng	第对脑神经
dī fēn huà xiàn ái	低分化腺癌
dǐ gǔ huó jiǎn shù	骶骨活检术
dī hé zōng hé zhēng	低和综合征
dǐ jiǎ lín bā jié	骶岬淋巴结
dí kuí fán shì zhèng	狄奎凡氏症
dì lú shén jīng bìng	第颅神经病
dì lú shén jīng hé	第颅神经核
dǐ nèi zàng shén jīng	骶内脏神经
dī pín lǜ lóng zhèng	低频率聋症
dǐ qià guān jié yán	骶髂关节炎
dì sān zhěn shén jīng	第三枕神经
dì shén jīng bìng sǔn	第神经病损
dì shén jīng bìng zhèng	第神经病症
dì sī jūn kǒu yán	地丝菌口炎
dǐ wài cè jìng mài	骶外侧静脉
dī wèi chǎn qián shù	低位产钳术
dī wèi zhí cháng ái	低位直肠癌
dì xiōng shén jīng jié	第胸神经节
dī xuè róng liàng zhèng	低血容量症
dī xuè táng zhèng bìng	低血糖症病
dǐ zhèng zhōng jìng mài	骶正中静脉
dī zhuàng yín xiè bìng	滴状银屑病
dī zhuàng yìng bān bìng	滴状硬斑病
diàn cè tīng jiǎn chá	电测听检查
diàn ěr jìng jiǎn chá	电耳镜检查
diàn fěn xìng shèn bìng	淀粉性肾病
diàn fěn yàng biàn bìng	淀粉样变病
diàn guāng xìng yǎn yán	电光性眼炎
diàn jí zhí rù shù	电极植入术
diàn xī rén liú shù	电吸人流术
diān xián dāo shǒu shù	癫痫刀手术
diān xián zōng hé zhēng	癫痫综合征
diǎn zhuàng jiǎo huà bìng	点状角化病
diǎn zhuàng jiǎo mó yán	点状角膜炎
diǎn zhuàng yín xiè bìng	点状银屑病
diàn zǐ xiǎn wēi shù	电子显微术
dié dǎo jìng mài kǒng	蝶导静脉孔
dié dòu kāi fàng shù	蝶窦开放术
diē pū shāng tāi zhèng	跌仆伤胎证
dòng chuāng yàng láng chuāng	冻疮样狼疮
dòng jìng mài jī xíng	动静脉畸形
dòng jìng mài wěn hé	动静脉吻合
dòng mài bāo tuō shù	动脉剥脱术
dòng mài hé jìng mài	动脉和静脉
dòng mài páng lù shù	动脉旁路术
dòng mài yǔ jìng mài	动脉与静脉
