ài shǔ	艾属
bǐng kǒu shǔ	柄口属
bīng láng kē	槟榔科
bīng láng shǔ	槟榔属
bīng nián shǔ	兵鲶属
bǐng tái cǎo	柄苔草
bǐng xué yú	丙穴鱼
bǐng yǎn mù	柄眼目
bīng yú kē	冰鱼科
bīng yú shǔ	冰鱼属
bìng zhí shǔ	并殖属
bó ā kē	博阿科
bō cài shǔ	菠菜属
bó duō kē	博多科
bō ěr kē	波尔科
bó ěr kē	博尔科
bò he shǔ	薄荷属
bō jiǎ yú	玻甲鱼
bō lán kē	波兰科
bō lǎng kē	波朗科
bó láo kē	伯劳科
bó láo shǔ	伯劳属
bō li yú	玻璃鱼
bó luó kē	博罗科
bō luó kē	菠萝科
bó mài kē	博迈科
bó nián kē	博年科
bō qī shǔ	波漆属
bō sāng kē	波桑科
bó shì kē	博世科
bó sī kē	博斯科
bo wàn kē	卜万科
bó xī kē	博西科
bǒ xī shǔ	跛蜥属
bó yī kē	博伊科
bō yú shǔ	波鱼属
bó yú shǔ	搏鱼属
bó zhū shǔ	博蛛属
bù jiǎ kē	步甲科
bù jiǎ shǔ	步甲属
bù jiān kē	布坚科
bù jīng kē	步鲸科
bù lán kē	布兰科
bù lóng kē	布龙科
bǔ shí mǎn	捕食螨
cǎi chán shǔ	彩蝉属
cài dòu shǔ	菜豆属
cài é kē	菜蛾科
cài é shǔ	菜蛾属
cǎi fú shǔ	彩蝠属
cǎi guī shǔ	彩龟属
cǎi huā shǔ	彩花属
cǎi huán shǔ	彩鹮属
cài jì shǔ	菜蓟属
cài jué shǔ	菜蕨属
cǎi mù shǔ	采木属
cǎi què shǔ	彩雀属
cǎi wā kē	彩蛙科
cǎi wú shǔ	彩鹀属
cài yīng kē	蔡应科
cǎi yíng shǔ	彩蝇属
cǎi yòu kē	彩蚴科
cǎi yòu shǔ	彩蚴属
cǎi yù kē	彩鹬科
cǎi yù shǔ	彩鹬属
cǎi zhì shǔ	彩雉属
cài zōng shǔ	菜棕属
càn dié kē	灿蝶科
cán dòu shǔ	蚕豆属
cán é kē	蚕蛾科
càn lì yú	灿丽鱼
cān yǐn kē	餐饮科
cān zōng kē	参棕科
cān zōng shǔ	参棕属
cáng dòu shǔ	藏豆属
cāng ěr shǔ	苍耳属
cáng guā shǔ	藏瓜属
cáng jì shǔ	藏荠属
cáng jiè shǔ	藏芥属
cáng jú shǔ	藏菊属
cáng lǎn shǔ	藏榄属
cāng lóng kē	沧龙科
cāng lóng shǔ	沧龙属
cāng lù shǔ	苍鹭属
cāng shǔ kē	仓鼠科
cāng shǔ shǔ	仓鼠属
cāng xiāo kē	仓鸮科
cāng zhú shǔ	苍术属
cáo bái yú	曹白鱼
cāo bàng shǔ	糙蚌属
cāo cǎo shǔ	糙草属
cáo chǐ mù	槽齿目
cǎo guī shǔ	草龟属
cǎo guǒ shǔ	草果属
cǎo jiāng shǔ	草鳉属
cǎo jīn yú	草金鱼
cǎo líng kē	草蛉科
cǎo líng shǔ	草蛉属
cǎo lú shǔ	草芦属
cǎo mán kē	草鳗科
cǎo mán shǔ	草鳗属
cǎo méi shǔ	草莓属
cǎo méi shǔ	草鹛属
cǎo mián shǔ	草棉属
cǎo míng kē	草螟科
