ā yóu qiān	锕铀铅
jīn shǔ shēn	金属砷
jīn shǔ tā	金属铊
jīn shǔ tī	金属锑
jīn shǔ wū	金属钨
jīn shǔ yóu	金属铀
jǐng chēng běn	肼撑苯
jīng yóu kuàng	晶铀矿
jù běn àn	聚苯胺
jù běn bǎn	聚苯板
jù běn mí	聚苯醚
jù xiān lǜ	聚酰氯
kāng lǜ suān	糠氯酸
kàng suān pǔ	钪酸镨
kāng xiān lǜ	糠酰氯
kàng yǐ shí	钪钇石
kě lǜ dān	可氯丹
kē tǎn kuàng	钶钽矿
kē xìng jiǎn	苛性碱
kǔ jī lǜ	苦基氯
kuí lín huáng	喹啉黄
kuí lín jī	喹啉基
kuí lín jiǎn	喹啉碱
kuí lín lán	喹啉蓝
kuí lín lèi	喹啉类
kuí lín lín	喹啉磷
kuí lín suān	喹啉酸
lán mù kuàng	蓝钼矿
lǐ pī shí	锂铍石
lián běn àn	联苯胺
lián běn chún	联苯醇
lián běn fēn	联苯酚
lián běn jī	联苯基
lián běn mí	联苯醚
lián běn suān	联苯酸
lián běn xī	联苯烯
lián běn xiān	联苯酰
lián èr běn	联二苯
lián sān běn	联三苯
liǎo hǎi mián	钌海棉
liǎo suān bèi	钌酸钡
liǎo suān lǐ	钌酸锂
liǎo suān sī	钌酸锶
liǎo suān yán	钌酸盐
liǎo yuán sù	钌元素
liǎo yuán zǐ	钌原子
lín běn kūn	邻苯醌
lín huà bèi	磷化钡
lín huà lǔ	磷化镥
lín huà pǔ	磷化镨
lín huà shì	磷化铈
lín huà sī	磷化锶
lín huà tè	磷化铽
lín huà tī	磷化锑
lín huà yì	磷化镱
lín huà yīn	磷化铟
lín mù suān	磷钼酸
lín suān bèi	磷酸钡
lín suān nǚ	磷酸钕
lín suān pī	磷酸铍
lín suān pǒ	磷酸钷
lín suān pǔ	磷酸镨
lín suān rú	磷酸铷
lín suān sè	磷酸铯
lín suān shān	磷酸钐
lín suān shì	磷酸铈
lín suān sī	磷酸锶
lín suān tā	磷酸铊
lín suān tè	磷酸铽
lín suān tǔ	磷酸钍
lín suān yǐ	磷酸钇
lín suān yì	磷酸镱
lín suān yǒu	磷酸铕
lín tǔ kuàng	磷钍矿
lín wū suān	磷钨酸
lín xī lǜ	磷醯氯
lín xiān lǜ	磷酰氯
lín yǐ kuàng	磷钇矿
lín yóu kuàng	磷铀矿
lín zá běn	磷杂苯
líng sī kuàng	菱锶矿
líng yóu kuàng	菱铀矿
liú bèi fěn	硫钡粉
liú běn fēn	硫苯酚
liù dàn běn	六氮苯
liù diǎn běn	六碘苯
liù fú běn	六氟苯
liú huà bèi	硫化钡
liú huà běn	硫化苯
liú huà nǚ	硫化钕
liú huà pī	硫化铍
liú huà pǒ	硫化钷
liú huà pǔ	硫化镨
liú huà rú	硫化铷
liú huà sè	硫化铯
liú huà shān	硫化钐
