ān fèng	安凤
xuān qíng	宣情
xuán yōu	玄幽
xuē féng	薛逢
xuē jù	薛据
xuē méng	薛蒙
xuē néng	薛能
xuē qióng	薛琼
xuē róng	薛戎
xuē shì	薛式
xuē tāo	薛涛
xuē yào	薛曜
xuē yáo	薛瑶
xuē yè	薛业
xuē yíng	薛莹
xuē yǒng	薛泳
xuē zhǔn	薛准
xún méi	寻梅
yán càn	颜粲
yán kuān	阎宽
yán kuí	颜奎
yán shū	颜舒
yán wéi	严维
yán xuǎn	阎选
yán xuān	颜萱
yán yì	严抑
yán yùn	严恽
yán zhèn	严震
yáng chéng	杨乘
yáng chí	杨持
yáng chūn	阳春
yáng fēn	杨玢
yáng héng	杨衡
yáng hòu	杨厚
yáng huì	杨绘
yáng jiàn	杨谏
yáng jǐng	杨景
yáng jūn	杨均
yáng jùn	杨浚
yáng kuí	杨夔
yáng luán	杨鸾
yáng pǔ	杨朴
yáng shì	杨适
yáng shōu	杨收
yáng sù	杨素
yáng sǔn	杨损
yáng xì	杨系
yáng xù	杨续
yáng yán	杨颜
yáo fā	姚发
yáo hé	姚合
yáo hú	姚鹄
yáo huā	瑶花
yáo kuí	姚揆
yáo lún	姚伦
yáo miǎn	姚勉
yáo róng	姚嵘
yáo wò	姚偓
yáo xì	姚系
yáo xiàng	姚向
yè cǎi	叶采
yè chāng	叶阊
yè chí	夜池
yè lǐ	叶李
yè rùn	叶润
yè sī	夜思
yè yǐn	夜饮
yī dǒng	一董
yī fán	伊璠
yī jiē	猗嗟
yì shì	忆事
yì sī	易思
yí sòng	一送
yī xiān	一先
yì zhòng	易重
yì zuì	忆醉
yīn cóng	殷琮
yǐn huàn	尹焕
yǐn luán	隐峦
yǐn mào	尹懋
yǐn pú	尹璞
yín qiáo	吟乔
yǐn shì	尹式
yīn yáo	殷遥
yīn yì	殷益
yīn yín	殷寅
yīng chàng	应玚
yǐng zhōu	颖州
yōng fēng	鄘风
yǒng huái	咏槐
yǒng xián	咏闲
yǒng yì	咏意
yǒng zhuō	咏拙
yǒu hú	有狐
yóu lái	犹来
yòu qīng	幼卿
yóu tóng	尤侗
yú áo	于敖
yǔ bào	庾抱
yú chóu	虞俦
yù fú	喻凫
yú fǔ	渔父
yú hào	俞灏
yú hú	于鹄
yù huái	谕怀
yú jiǎn	俞简
yú mǒu	虞某
yǔ qīn	与亲
yú shào	于邵
yù shǔ	欲曙
yū sǒu	迂叟
yú wēng	渔翁
yú yè	于邺
yù yīng	玉英
yuán chún	元淳
yuàn cí	怨词
yuán fú	元孚
yuán huì	元晦
yuán jì	元寂
yuán jiàng	元绛
yuán jiāo	袁郊
yuán jié	元结
yuán lù	缘路
yuàn qíng	怨情
yuán shèng	元晟
yuǎn shī	远师
yuán táo	袁綯
yuán zài	元载
yuán zhěn	元稹
yuè àn	月暗
yuè chū	月出
yuè fǔ	岳甫
yuè fù	月赋
yuè màn	月慢
yuè niáng	越娘
yuè wū	越巫
yuē xīn	约心
yuè zhèng	乐正
yún biǎo	云表
yún hé	云和
yùn lìng	韵令
yún róng	云容
zài chí	载驰
zài qū	载驱
zǎo chán	早蝉
zǎo cháo	早朝
zǎo chūn	早春
zǎo dōng	早冬
zǎo guī	早归
zǎo hán	早寒
zǎo qiū	早秋
zǎo rè	早热
zǎo xīng	早兴
zé bēi	泽陂
zé nán	则难
zè píng	仄平
zé yì	则易
zè yùn	仄韵
zēng kuí	曾揆
zèng nèi	赠内
zèng yán	赠言
zhāi jiè	斋戒
