ān fèng	安凤
shí yì gù jiāo nà de jiàn	时忆故交那得见
shì yì hé dé yú shān lín	士亦何得於山林
shì yǐ hòu shì wú chuán yān	是以后世无传焉
shì yǐ hòu wáng zì chēng gū	是以侯王自称孤
shí yí jīn rì shì qián xián	拾遗今日是前衔
shì yǐ jūn zǐ bú wèi yě	是以君子不为也
shǐ yì lèi luó xīn tuō bǎi	始意类萝新托柏
shī yì liú lián zhòng wù huá	诗意留连重物华
shí yí liú luò jǐn guān chéng	拾遗流落锦官城
shí yì lóng zhōng cuī zhé yǔ	时忆笼中摧折羽
shī yì měi duō rú yì shǎo	失意每多如意少
shí yī nián lái jiàn cǐ wēng	十一年来见此翁
shí yī nián qián mèng yì chǎng	十一年前梦一场
shì yǐ rú shì qí jí yě	是以如是其急也
shì yǐ shén rén è zhòng zhì	是以神人恶众至
shì yǐ shèng rén yóu nán zhī	是以圣人犹难之
shì yǐ shèng rén yù shàng mín	是以圣人欲上民
shí yí shì gǎi yīng shān rán	时移事改应潸然
shí yǐ wǎn xī yōu lái duō	时已晚兮忧来多
shī yǐ wàng yán zhēn yǒu dào	师已忘言真有道
shì yǐ wèi nuǎn shū zhě yě	是以谓暖姝者也
shì yì wú yì xiāo yáo yóu	适意无异逍遥游
shì yǐ yǒu lǚ shuāng zhī yōu	是以有履霜之忧
shí yī yuè zhōng cháng zhì yè	十一月中长至夜
shī yǐn dì huá zhān yī yǔ	诗引棣华沾一雨
shí yǐn jīng yuán hàn zhú xuān	时引惊猿撼竹轩
shī yín liǎng jù shén hái wáng	诗吟两句神还王
shí yīn qiū yàn jì shēng lái	时因秋雁寄声来
shí yǐn shuāng jīng wàn mù jiān	时引双旌万木间
shí yīn sòng kè jiàn chē fān	时因送客见车轓
shí yīn yì shì dé lián míng	时因议事得联名
shī yín zhù jìng jǐng kǒu píng	湿银注镜井口平
shì yín zhuó xī bù kě jiàng	世淫浊兮不可降
shí yīng chí bō dào zhū cūn	时应持鉢到诸村
shí yòng rén cái jí zhì gōng	实用人材即至公
shí yóu bā jiǔ fù xīn guī	十犹八九负薪归
shí yǒu bái yún lái bàn sù	时有白云来伴宿
shí yǒu bái yún zhē dú xíng	时有白云遮独行
shì yǒu dào dé bù néng xíng	士有道德不能行
shì yóu è zuì ér qiáng jiǔ	是犹恶醉而强酒
shí yóu fān dòng hū chéng zāi	石尤翻动忽成灾
shí yǒu fēi huā wǔ dào biān	时有飞花舞道边
shì yǒu gāo xián jiàn tái dòu	世有高贤践台斗
shí yǒu guī niú fú bí guò	时有归牛浮鼻过
shí yǒu guī yún dào zhěn biān	时有归云到枕边
shí yǒu huáng lí gé zhú wén	时有黄鹂隔竹闻
shí yǒu jī rǎng lǎo nóng fù	时有击壤老农父
shī yǒu láng yá bǐng màn róng	师友琅琊邴曼容
shí yǒu shā hù qí chūn cán	时有沙户祈春蚕
shí yǒu shì rén lái shì dǐng	时有世人来舐鼎
shì yóu shī tiān ér wú dì	是犹师天而无地
shì yóu tuī zhōu yú lù yě	是犹推舟于陆也
shí yǒu xī yù hú sēng shí	时有西域胡僧识
shí yǒu xiān niǎo lái xián huā	时有仙鸟来衔花
shǐ yǒu xián rén bǎ yì zhī	始有闲人把一枝
shǐ yǒu xīn qíng wèn sī zhú	始有心情问丝竹
shí yǒu yě rén lái wǎn xū	时有野人来挽须
shí yǒu yě shǔ xián qí zī	时有野鼠衔其髭
shì yǒu zhì nán tiān xìng ěr	事有至难天幸尔
shí yǔ cháo tíng shēng yì rén	实与朝廷生异人
shí yú chū wǎng bì zhōu zhǔ	鲥鱼出网蔽洲渚
shì yǔ dài yuè zhēng xióng zūn	势与岱岳争雄尊
shǐ yǔ dān yuán tóng zǐ jīng	使予丹元童子惊
shì yǔ dào jiāo xiāng sàng yě	世与道交相丧也
shǐ yú dāo xī jiǎn yú fā	使余刀兮剪余发
shì yǔ fú yún qù jué zōng	事与浮云去绝踪
shī yǔ gū gāo cháng jìn bàng	诗语孤高常近谤
shī yú hé qì shēng tán zhǔ	诗馀和气生谈麈
shì yǔ huà chán dāng diǎn tóu	试与话禅当点头
shì yù huī háo yì zì mí	试欲挥毫意自迷
shí yǔ lái guān nóng hù chūn	时雨来观农扈春
shǐ yú lì xī jiǎn yú fā	使余力兮翦余发
shì yǔ luò rì zhēng fēn chí	势与落日争分驰
shí yú mǎn fù gè zì fēi	食鱼满腹各自飞
shì yù mó qiān liàng wú zhù	试欲磨铅谅无助
shí yú mù huàn shí lí zhū	十鱼目换十骊珠
shí yù ní cháng fèng yì yī	时御霓裳奉易衣
shì yù qiǎn chù tiān jī shēn	嗜欲浅处天机深
shí yǔ qiān qī hàn yùn lóng	时雨愆期旱蕴隆
shì yù qiáng dá chéng wú yóu	势欲强达诚无由
shǐ yǔ qín sāi tōng rén yān	始与秦塞通人烟
shǐ yù qiú fāng jiù qiáo cuì	始欲求方救憔悴
shì yǔ rén wéi shàn zhě yě	是与人为善者也
shí yú ròu xī yǐn yú xuè	食余肉兮饮余血
shì yǔ shǒu xī fēi yǔ qī	适予手兮非予期
shǐ yǔ xīn zài jiāng hú shàng	使予心在江湖上
shì yù yào shāo sān rì mǎn	试玉要烧三日满
shí yǔ zhēn chéng dà yǒu nián	时雨真成大有年
shì yuǎn cái guò sù chōng liào	适远才过宿舂料
shì yuán duō lèi àn shēng bēi	世缘多累暗生悲
shì yuán sú niàn xiāo chú jìn	世缘俗念消除尽
shì yuán wèi liǎo zhì bù dé	世缘未了治不得
shì yuán zhōng qiǎn dào gēn shēn	世缘终浅道根深
shí yuè bào sài nán shān shén	十月报赛南山神
shí yuè běi fēng cuī suì lán	十月北风催岁兰
shí yuè běi fēng yàn cǎo huáng	十月北风燕草黄
shí yuè cháng ān bàn yè chūn	十月长安半夜春
shí yuè fán shuāng jiàn xìng huā	十月繁霜见杏花
shí yuè gāo fēng kè zǐ bēi	十月高风客子悲
shí yuè há ma jiù yuè gōng	食月虾蟆救月弓
shí yuè hán huā niǎn lù zhōng	十月寒花辇路中
shí yuè huā kāi bú dài chūn	十月花开不待春
shí yuè jí wéi jī fěn qī	十月即为齑粉期
shí yuè jiāng biān lú yè fēi	十月江边芦叶飞
shí yuè jiāng nán tiān qì hǎo	十月江南天气好
shí yuè jiāng nán wèi dé shuāng	十月江南未得霜
shí yuè jīng nán léi nù háo	十月荆南雷怒号
shí yuè kǔ hán cháng dǎo chuí	十月苦寒常倒垂
shí yuè lí gōng wàn guó cháo	十月离宫万国朝
shí yuè shān xíng bīng xuě shēn	十月山行冰雪深
shí yuè tiān gōng zuò shī bēi	十月天公作诗悲
shí yuè xiān kāi lǐng shàng méi	十月先开岭上梅
shí yuè xīn qín yī yuè bēi	十月辛勤一月悲
shí yuè yī rì tiān zǐ lái	十月一日天子来
shí yuè yí tún lái xiàng chéng	十月移屯来向城
shī yùn qīng qiāng yù bù rú	诗韵清锵玉不如
shì zài huáng tiān zhì bù mí	事在皇天志不迷
shí zǎi jiāng hú kùn bào guān	十载江湖困抱关
shí zǎi lí yōu dé zàn kāi	十载离忧得暂开
shí zǎi piāo rán shéng jiǎn wài	十载飘然绳检外
shí zǎi piāo rán wèi kě qī	十载漂然未可期
shí zài qióng shā shàng qǐ xíng	石在穷沙尚启行
shí zǎi wú méi dú jiàn yí	十载无媒独见遗
shì zài yì ér qiú zhū nán	事在易而求诸难
shí zǎi zhàng fū kān chǐ chù	十载丈夫堪耻处
shì zǎi zhōng dū tiān xià wén	试宰中都天下闻
shí zǎn cóng xī yún jǐn cóng	石攒丛兮云锦淙
shì zé bō xún diān dǎo xiǎng	是则波旬颠倒想
shì zé míng wéi shī wú wèi	是则名为施无畏
shī zhài tián hái yì yù píng	诗债填还亦欲平
shì zhāi yóu suān yì wèi huáng	试摘犹酸亦未黄
shǐ zhān jìn dào yǒu huí qī	使旃尽道有回期
shí zhàn tiān tī chuí pèi gāo	石栈天梯箠辔高
shì zhǎn zhì zhī liáo chū hán	誓斩郅支聊出寒
shī zhāng rén yǔ chuán qiān shǒu	诗章人与传千首
shī zhāng shèn yǎ tū huáng chū	诗章甚雅突黄初
shí zhàng xū tíng jiè yǔ kàn	十丈虚庭借雨看
shǐ zhě tú láo bǎi wàn huí	使者徒劳百万回
shǐ zhě xià chē yōu jí kǔ	使者下车忧疾苦
shì zhé yì zhī hán wàn hèn	试折一枝含万恨
shǐ zhě yīng xū fǎng lián lì	使者应须访廉吏
shí zhě yuè jiàn yì shēng shì	识者阅见一生事
shǐ zhě zài mén cuī pú pú	使者在门催仆仆
shì zhēn lí yù ā luó hàn	是真离欲阿罗汉
shǐ zhī bà shàng wéi yīng hái	始知灞上为婴孩
shǐ zhī bǎi liàn shì jīng jīn	始知百炼是精金
shǐ zhī biān jiāng zhēn fù guì	始知边将真富贵
shí zhǐ bú dòng yī yíng xiāng	十指不动衣盈箱
shǐ zhī bú jiàn gāo huáng dì	始知不见高皇帝
shǐ zhī dì shàng yǒu shén xiān	始知地上有神仙
shǐ zhī fù hǔ rú fù shǔ	始知缚虎如缚鼠
shǐ zhī gèng yǒu fú sāng dōng	始知更有扶桑东
shǐ zhī gū fù píng shēng ěr	始知孤负平生耳
shǐ zhī guān zhí wèi tā rén	始知官职为他人
shì zhī háo fà wú wèi qīng	事之毫髪无谓轻
shí zhī háo jiàn xī yù wú	食之豪健西域无
shǐ zhī hé qì dài yíng xīn	始知和气待迎新
shí zhī huà chuán hé chù sù	十只画船何处宿
shǐ zhī jià hè chéng yún wài	始知驾鹤乘云外
shǐ zhī jiāng zuǒ wèi fēng liú	始知江左未风流
shǐ zhī jiě ài shān zhōng sù	始知解爱山中宿
shǐ zhī jìn tuì gè yǒu lǐ	始知进退各有理
shí zhī kě yǐ líng tài xū	食之可以凌太虚
shǐ zhī lè yǔ shí zhèng tōng	始知乐与时政通
shǐ zhī luò xià fēn sī zuò	始知洛下分司坐
shǐ zhī míng jiāng chū shū shēng	始知名将出书生
shí zhǐ nǎi néng xiě rén xīn	十指乃能写人心
shǐ zhī nián shào qiú míng chù	始知年少求名处
shǐ zhī qín dì yǒu jiāng jūn	始知秦地有将军
shǐ zhī rén lǎo bù rú huā	始知人老不如花
shǐ zhī shén lóng bié yǒu zhǒng	始知神龙别有种
shǐ zhī shēn shì shì xū zhōu	始知身世是虚舟
shǐ zhī shēng nǚ yǔ nán tóng	始知生女与男同
shì zhì shí gōng zhōng shí bìng	事至十弓中时病
shì zhī suǒ chí zǐ dú bù	世之所驰子独不
shǐ zhī suǒ xiàng jīn lóng tīng	始知锁向金笼听
shǐ zhī suǒ zhī ér bù dé	使知索之而不得
shǐ zhī tiān shàng wén xīng shī	始知天上文星失
shǐ zhī tiān shàng yǒu jiāng jūn	始知天上有将军
shǐ zhī tiān xià yǒu qí cái	始知天下有奇才
shǐ zhī tiān zào kòng xián jìng	始知天造空闲境
shǐ zhī wàn zú wú bù yǒu	始知万族无不有
shì zhī wèi yǔ gǔ wéi tú	是之谓与古为徒
shì zhī wèi yǔ rén wéi tú	是之谓与人为徒
shì zhī wèi yǔ tiān wéi tú	是之谓与天为徒
shǐ zhī wǔ huáng qiú bù sǐ	始知武皇求不死
shǐ zhī wú jìn běn wú dēng	始知无尽本无灯
shǐ zhī wù miào jiē kě lián	始知物妙皆可怜
shǐ zhī xiān shì wú bù yǒu	始知仙事无不有
shì zhī xiǎo gé hái xié zhào	适知小阁还斜照
shǐ zhī xiè qiǎn sù yǔ mán	始知谢遣素与蛮
shǐ zhī yíng nǚ shàn chuī xiāo	始知嬴女善吹箫
shǐ zhī yóu zǐ bēi gù xiāng	始知游子悲故乡
shǐ zhī zǎo chū jiàn lǐ wèi	使之早出见李卫
shǐ zhī zhēn fàng běn jīng wēi	始知真放本精微
shǐ zhī zhū qǔ bù kě bǐ	始知诸曲不可比
shǐ zhī zhǔ shì ér shì zhì	使之主事而事治
shī zhōng dìng hé ài táo qián	诗中定合爱陶潜
shì zhòng gè xián tiān zǐ zhào	事重各衔天子诏
shí zhōng huáng zǐ huáng jīn xiè	石中黄子黄金屑
shì zhōng níng chén sàn fà zuò	室中凝尘散发坐
shì zhōng shí jiàn tiān rén mìng	室中时见天人命
shì zhōng wéi kě yǐn chún jiǔ	是中惟可饮醇酒
shí zhōng wú shēng shuǐ yì jìng	石中无声水亦静
shǐ zhōng xiāng fǎn hū wú duān	始终相反乎无端
shì zhōng yàn zuò yīng róng wǒ	是中宴坐应容我
shì zhōng yáo wàng kōng yún shān	世中遥望空云山
shì zhōng yǒu hǔ jìng chéng yí	市中有虎竟成疑
shì zhōng yǒu mù shì bù zhī	是中有目世不知
shí zhōng yǒu yī de gēng yī	十中有一得更衣
shì zhōng zhī lè xū nán míng	是中之乐吁难名
shí zhōng zhì yào gān xīn bēng	食中置药肝心崩
shí zhōu fēng jǐng zhù xīn shī	十洲风景助新诗
shí zhōu jiāng lì suí dī áng	十州将吏随低昂
shī zhù cǐ shān sān shí nián	师住此山三十年
shī zhǔ cuò mò wú jīng guāng	失主错莫无晶光
shì zhú jiā yóu fāng cǎo lù	试逐佳游芳草路
shí zhú jīn qián hé xì suì	石竹金钱何细碎
shì zhù máng xié chuān luò què	试著芒鞋穿荦确
shī zhù qí jiè yǐ jiāng zhī	尸祝齐戒以将之
shì zhǔ róng qīn dài suǒ xī	事主荣亲代所稀
shì zhú tóng wū rào dì tái	试逐铜乌绕帝台
shī zhù yì shuāng qiàn shǒu tòng	湿著一双纤手痛
shí zhuǎn lán ráo pò qīng làng	时转兰桡破轻浪
shǐ zhuàng fú róng xīn chū shuǐ	始状芙蓉新出水
shī zǐ āi yuán rào lín xiào	失子哀猿绕林啸
shì zǐ dào chéng shén qì xián	释子道成神气闲
shǐ zǐ gòng wǎng shì shì yān	使子贡往侍事焉
shī zi hú ér zhǎng zài mù	狮子胡儿长在目
shī zi huí tóu xiàng xī wàng	狮子回头向西望
shí zì jīn tóu yí zì xíng	十字津头一字行
shǐ zì liǎng hé jí sān fǔ	始自两河及三辅
shí zì liè néng qī xiàng jí	识字劣能欺项籍
shī zǐ qí lín liáo bǐ jiān	师子麒麟聊比肩
shí zì qīng bō rào zhái qiáng	十字清波绕宅墙
shì zǐ qù xī fǎng míng shān	释子去兮访名山
shì zǐ shēn xīn wú gòu fēn	释子身心无垢纷
shì zǐ shēn xīn wú yǒu fēn	释子身心无有分
shí zǐ shí nián hé bù yù	识子十年何不遇
shī zi yáo guāng máo cǎi shù	狮子摇光毛彩竖
shí zì yǒu shù wǒ zì zhī	识字有数我自知
shì zòng shén ér bù yù xī	试纵神而不御兮
shǐ zòu chéng yún yú dì shǎng	始奏承云娱帝赏
shì zòu ní cháng yì qǔ kàn	试奏霓裳一曲看
shì zǔ běn wú tiān xià liàng	世祖本无天下量
shì zú duō qí nèi jiù mǎ	士卒多骑内厩马
shì zuò ǎi nú nián jìn sòng	市作矮奴年进送
shì zuò guī zhāng lǐ tiān dì	试作珪璋礼天地
shí zuō lián huā yún zuò tái	石作莲花云作台
shī zuò mǎ tí suí bǐ zǒu	诗作马蹄随笔走
shí zuò xīn shī jì bái yún	时作新诗寄白云
shì zuò xún cháo fēng yǎn xiǎng	试作循潮封眼想
shí zuò yáng guān cháng duàn shēng	时作阳关肠断声
shǒu àn zhāo yáng dì yī rén	首按昭阳第一人
shǒu bǎ chú lí è kōng gǔ	手把锄犁饿空谷
shǒu bǎ fú róng cháo yù jīng	手把芙蓉朝玉京
shǒu bǎ jú huā lù páng zhāi	手把菊花路旁摘
shǒu bǎ lí huā hán shí xīn	手把梨花寒食心
shǒu bǎ liáng shēng huà huā kàn	手把梁生画花看
shǒu bǎ shān yáng tài shǒu fú	手把山阳太守符
shǒu bǎ shān zhōng zǐ luó bǐ	手把山中紫罗笔
shǒu bǎ shī shū lái wǒ páng	手把诗书来我旁
shǒu bǎ shī wēng yì xuě shī	手把诗翁忆雪诗
shǒu bǎ tóng zhāng wàng hǎi yún	手把铜章望海云
shǒu bǎ tú sū ràng shào nián	手把屠苏让少年
shǒu bǎ wén shū kǒu chēng chì	手把文书口称敕
shǒu bǎ xiān tiān yǐ hòu shū	手把先天已后书
shǒu bǎ yá qiào zhú dàn gōng	手把牙鞘竹弹弓
shǒu bǎ yáng zhī lín shuǐ zuò	手把杨枝临水坐
shǒu bǎ yǔ lìng xiāng wèn shū	手把庾令相问书
shǒu bǎn zhī yí dú yǒng pín	手板支颐独咏贫
shǒu bù dé yú wú xīn xī	手不得於吾心兮
shǒu cān yú shùn kuǎn sháo shí	首参虞舜款韶石
shōu cáng ài xī dài jiā kè	收藏爱惜待佳客
shōu cáng biàn zuò zhōng shēn bǎo	收藏便作终身宝
shōu cáng cán yuè xī wèi niǎn	收藏残月惜未碾
shǒu chàn yǎn hūn tóu xuě sè	手颤眼昏头雪色
shǒu chāo wàn juàn wèi gē bǐ	手抄万卷未阁笔
shǒu chén jīn rì kuì bāo sāng	守臣今日愧苞桑
shōu chéng shā zéi chái láng kōng	收城杀贼豺狼空
shǒu chí bái fú qǐ qīng fēng	手持白拂起清风
shǒu chí bái yǔ wèi gǎn shì	手持白羽未敢释
shǒu chí bēi jiào dǎo wǒ zhì	手持杯珓导我掷
shǒu chí cán jú xiàng xī zhāo	手持残菊向西招
shǒu chí chǐ dié bǎng xiāng cūn	手持尺牒榜乡村
shǒu chí dào jīng zhù yǐ bì	手持道经注已毕
shǒu chí diào gān yuǎn xiāng tóu	手持钓竿远相投
shǒu chí guān dié chū shén gāo	手持官牒出神皋
shǒu chí guó xiàn qún liáo wèi	手持国宪群僚畏
shǒu chí hán xī yuǎn tóu tuó	手持寒锡远头陀
shǒu chí huáng zhǐ dào cāng zhōu	手持黄纸到沧洲
shǒu chí jīn cè shēng líng líng	手持金策声泠泠
shǒu chí jǐn páo fù wǒ shēn	手持锦袍覆我身
shǒu chí jīn zhù chuí hóng lèi	手持金箸垂红泪
shǒu chí láng gān yù yǒu zèng	手持琅玕欲有赠
shǒu chí rú yì gāo chuāng lǐ	手持如意高窗里
shòu cí liáo fù tuō qiōng qióng	瘦词聊复托芎藭
shōu cǐ sāng yú lǎo gù qiū	收此桑榆老故丘
shǒu cuō jiǎo diē zhī zhū sī	手蹉脚跌蜘蛛丝
shǒu dài gōng ēn ruò shān chóng	首戴公恩若山重
shǒu dào hái rú zhōu fú zhù	守道还如周伏柱
shǒu dào qīng qiū hái jì mò	守到清秋还寂寞
shōu de cáo xī yì dī wú	收得曹溪一滴无
shōu de huáng cháo zhé jiàn tóu	收得黄巢折剑头
shōu de kuí lóng qiáng jiàn shēn	收得夔龙强健身
shǒu de lián kāi jié bàn yóu	守得莲开结伴游
shōu de qiān jīn bù guī yào	收得千金不龟药
shōu de shān dān hóng ruǐ fěn	收得山丹红蕊粉
shōu de shēn lái yǐ wǔ nián	收得身来已五年
shǒu de sū zhōu chuán fǎng làn	守得苏州船舫烂
shōu de yù táng huī hàn shǒu	收得玉堂挥翰手
shǒu duàn gù yīng wú duàn zhě	首断故应无断者
shōu èr jù shì huái zǐ yóu	收二句是怀子由
shòu fǎn shēn shān niǎo gòu cháo	兽返深山鸟构巢
shǒu fēng bì láo tún zhì qiú	手封狴牢屯制囚
shǒu fèng píng fán xǐ shèng mén	手奉苹蘩喜盛门
shǒu fú bì jiān liú hèn jù	手拂壁间留恨句
shǒu fú yín píng qiū shuǐ lěng	手拂银瓶秋水冷
shǒu fú zhuó zhàng suī lǎo yǐ	手扶梲杖虽老矣
shòu gōng bù xī zhù nán rén	寿宫不惜铸南人
shǒu gōng nǔ lì bó cāng ying	守宫努力搏苍蝇
shōu gōng wú lù qù wú tián	收功无路去无田
shòu gǔ léng léng xīn kǔ xīn	瘦骨棱棱心苦辛
shòu gǔ yáo zhī shì dì xiōng	寿骨遥知是弟兄
shòu guǐ zhí zhú lèi bèng quán	兽鬼踯躅泪迸泉
shōu hé yán ér jìng zhì xī	收和颜而静志兮
shōu hóng shí zǐ wú yí luò	收红拾紫无遗落
shǒu hù kūn lún xiàng yá jiǎn	手护昆仑象牙简
shǒu huī bā fú jǐn jiāng sī	手挥八幅锦江丝
shǒu huī pí pá sòng fēi hóng	手挥琵琶送飞鸿
shòu huǒ yáng guāng èr sān yuè	兽火扬光二三月
shòu jǐ pán pán shàng yǐ kōng	瘦脊盘盘尚倚空
shòu jì qǐ fēi zāo fó huàn	受记岂非遭佛幻
shōu jiāng fèng zhǐ xiě xiāng sī	收将凤纸写相思
shǒu jiāng yù bì jiàn sān shén	首将玉币荐三神
shǒu jiǎo dòng cūn pí ròu sǐ	手脚冻皴皮肉死
shǒu jiē fēi náo bó diāo hǔ	手接飞猱搏雕虎
shǒu jié piān líng yù shǐ shuāng	守节偏凌御史霜
shǒu jiē yún píng hū tài jūn	手接云輧呼太君
shōu jìn biān qí dāng rì lái	收尽边旗当日来
shòu jìn dēng huā yòu yī xiāo	瘦尽灯花又一宵
shòu jìn dōng yáng xìng shěn rén	瘦尽东阳姓沈人
shòu jìn qióng zhī yǒng sì chóu	瘦尽琼枝咏四愁
shòu jìn yāo wéi qiè fēng jǐng	瘦尽腰围怯风景
shòu jìn yāo wéi yī dài cháng	瘦尽腰围衣带长
shōu jīng fù dào shōu jīng yì	收京复道收京邑
shòu jiǔ nián nián tài yè chí	寿酒年年太液池
shōu jū shí yǒu wò wā zī	收驹时有渥洼姿
shǒu juàn mù láo fāng yì qǐ	手倦目劳方一起
shǒu juàn zhēn zhū shàng yù gōu	手卷真珠上玉钩
shǒu kāi dōng gé zuò xū míng	手开东阁坐虚明
shōu kē tiān bì qǐng tóng shí	收科天陛顷同时
shōu lái àn shàng jiǎn wén shū	收来案上检文书
shōu lǎn qí xiù dé shí wǔ	收揽奇秀得十五
shǒu lěng dēng qián zì nà yī	手冷灯前自衲衣
shǒu lì néng rán dǒng zhuó qí	守吏能然董卓脐
shǒu lǐ wú jīn mò jiē tàn	手里无金莫嗟叹
shǒu lì xiāng hū wèn xìng míng	守吏相呼问姓名
shòu lù píng jiāo wǔ yuè shén	受箓平交五岳神
shòu mǎ xíng chí kǔ fèi biān	瘦马行迟苦费鞭
shòu mǎ xún huā chù chù xíng	瘦马寻花处处行
shòu mìng bù dé xū yú liú	受命不得须臾留
shòu mìng bù qiān xiāng zēng shì	受命不迁相曾氏
shòu mìng shàng zǎi xū jí qī	受命上宰须及期
shòu mìng tiān jiāo guò qī xún	寿命天教过七旬
shǒu mó xīn yǔ zhī xǔ shì	手磨心语知许事
shǒu mó xiù fú xīn yǔ kǒu	手磨袖拂心语口
shǒu niǎn hóng jiān jì rén shū	手捻红笺寄人书
shǒu niān huáng huā wú yì xù	手拈黄花无意绪
shǒu nòng shēng xiāo bái tuán shàn	手弄生绡白团扇
shǒu nòng shuāng zhōng kàn bái yún	手弄霜钟看白云
shǒu nòng sù yuè qīng tán jiān	手弄素月清潭间
shǒu pěng jiā yáng cóng shì xí	手捧嘉阳从事檄
shǒu pěng yù dì chú shū lái	手捧玉帝除书来
shǒu pī huāng cǎo kàn gū fén	手披荒草看孤坟
shòu qī bìng yú fèi zǔ zhī	瘦妻病余废组织
shōu qí wò gǔ xiāng tiān zǐ	收旗卧鼓相天子
shǒu qián nú yǔ jū guān qiú	守钱奴与拘官囚
shòu qīn jiá rú mù dān sè	寿亲颊如木丹色
shòu qīn yí xiào yí cháng jiǔ	寿亲一笑宜长久
shòu qīn yī zūn kāi yàn xǐ	寿亲一樽开宴喜
shòu qióng shàng xià fèi chén yín	瘦筇上下费沉吟
shōu qǔ guān shān wǔ shí zhōu	收取关山五十州
shōu qǔ liáng zhōu shǔ hàn jiā	收取凉州属汉家
shōu qǔ sāng yú zhǒng lí zǎo	收取桑榆种梨枣
shōu qǔ shēng míng sì shí nián	收取声名四十年
shōu qǔ tóu biān jiāo lóng zhěn	收取头边蛟龙枕
shǒu qǔ tuán yuán zhōng bì suì	守取团圆终必遂
shōu qǔ zhū lán yí piàn hóng	收取朱阑一片红
shōu què lún gān luò zhào hóng	收却纶竿落照红
shōu què tóu hú yù wàn láo	收却投壶玉腕劳
shǒu ràng zhū jūn wú gǎn jìn	首让诸军无敢近
shòu rèn yú bài jūn zhī jì	受任于败军之际
shǒu róu gōng zào chūn fēng hòu	手柔弓燥春风后
shǒu ruá hóng xìng zuì fán xiāng	手挼红杏醉繁香
shǒu ruá méi ruǐ dǎ jiān tóu	手挼梅蕊打肩头
shòu shāng měi shǐ zēng sūn xiàn	寿觞每使曾孙献
shǒu shè hé fáng dú yǎn fēi	守舍何妨独掩扉
shōu shi dōng fēng zuò yì jiā	收拾东风作一家
shōu shi fēng suì hái míng zhǔ	收拾丰岁还明主
shōu shi héng yún zuò yǔ yī	收拾衡云作羽衣
shǒu shì qiě jì zhōng shān sēng	守视且寄锺山僧
shōu shi sàn wáng lǐ fàng fēn	收拾散亡理放纷
shōu shi wén zhāng yǒu liù dīng	收拾文章有六丁
shōu shi xiǎo shān cáng shè wèng	收拾小山藏社瓮
shōu shi yú xiāng hái bì hào	收拾余香还畀昊
shōu shi zǎng jùn jì běi kōng	收拾驵骏冀北空
shǒu suì jiā jiā yīng wèi wò	守岁家家应未卧
shǒu suì shān fáng jiǒng jué yuán	守岁山房迥绝缘
shòu tā qū qiǎn hái fù qù	受他驱遣还复去
shǒu tán shèng yǔ sú rén yán	手谈胜与俗人言
shòu téng liù chǐ chí mén hù	瘦藤六尺持门户
shòu téng qī chǐ zǒu jīng shé	瘦藤七尺走惊蛇
shòu téng zhǔ dào fēng yān shàng	瘦藤拄到风烟上
shòu tí niǎo jì jiāo zhōng tǔ	兽蹄鸟迹交中土
shǒu tí suō lì qī fēng yǔ	手提蓑笠欺风雨
shǒu tí wén fēng bǎi liàn chéng	手提文锋百炼成
shǒu tí xīn huà qīng sōng zhàng	手提新画青松障
shǒu tí zhì hái cuī dài fū	手提掷还崔大夫
shǒu tīng guān shī kùn guān guǎ	首听官师困鳏寡
shǒu wò xuán fú píng jiǔ tǔ	手握玄符平九土
shǒu wò yào miáo rén bù shí	手握药苗人不识
shǒu wū wú zú nǎi gǎn chēn	手污吾足乃敢瞋
shǒu wǔ zú dǎo fāng wú yǐ	手舞足蹈方无已
shǒu xià hé xū qì yù zhēng	首夏何须气郁蒸
shǒu xià hū rán piàn yún fēi	手下忽然片云飞
shǒu xià niǎo jīng fēi bō lá	手下鸟惊飞拨剌
shòu xiàn xiāng shān zhù shèng míng	寿献香山祝圣明
shòu xiáng chéng wài yuè rú shuāng	受降城外月如霜
shòu xiáng chéng xià yuè rú shuāng	受降城下月如霜
shòu xiáng chéng xià zǐ rán láng	受降城下紫髯郎
shǒu xiāng xīn xiě fǎ jiè guān	手香新写法界观
shǒu xié cǐ wù zèng yuǎn rén	手携此物赠远人
shǒu xié jīn cè tà yún tī	手携金策踏云梯
shǒu xié rù shì shēng mài zhī	手携入市生卖之
shǒu xié zhì zǐ yè guī yuàn	手携稚子夜归院
shōu xīn fèng dào wǔ xún yú	收心奉道五旬余
shòu yàn wēi hóng gé yún mǔ	兽焰微红隔云母
shǒu yáng fēng liú luò nán guó	首阳风流落南国
shòu yáng gōng zhǔ jià shí zhuāng	寿阳公主嫁时妆
shǒu yáng wēi jué xiàng lái jī	首阳薇蕨向来饥
shòu yáng xī qù shuǐ wú qióng	寿阳西去水无穷
shǒu yí fāng shù yì tíng kē	手移芳树忆庭柯
shòu yí guī mèi kuàng zài yǔ	受遗归妹况在予
shǒu yì zǐ zhī xiào pī fú	手翳紫芝笑披拂
shǒu yuán yù zhù bù gǎn chí	手援玉箸不敢持
shǒu yuán zǐ lěi zuò bì cǎo	手援紫藟坐碧草
shòu yuè chóng lái dìng shí lián	授钺重来定十连
shòu yuè zhù tán wén yì zhǐ	授钺筑坛闻意旨
shǒu zāi fāng shù yì tíng kē	手栽芳树忆庭柯
