liú hè	刘鹤
liú héng	刘恒
liú hóng	刘弘
liú jī	刘基
liú jǐn	刘瑾
liú jù	刘据
liú jùn	刘骏
liú néng	刘能
liú pì	刘辟
liú qí	刘琦
liú qǐ	刘启
liú qiān	刘谦
liú shàn	刘禅
liú shào	刘劭
liú shèng	刘胜
liú sòng	刘宋
liú wěi	刘炜
liú xiàng	刘向
liú xiāng	刘襄
liú xié	刘勰
liú xié	刘协
liú xīn	刘歆
liú xuán	刘玄
liú yǎn	刘琰
liú yào	刘曜
liú yáo	刘繇
liú yè	刘晔
liú yì	刘毅
liú yì	刘廙
liú yíng	刘盈
liú yōng	刘墉
liú yù	刘裕
liú yú	刘瑜
liú yú	刘虞
liú yuán	刘源
liú yuān	刘渊
liú zhāng	刘璋
liú zhēn	刘桢
liú zhòng	刘仲
lóu yè	娄烨
lù áo	陆翱
lù chuān	陆川
lù hào	陆昊
lù jī	陆机
lù jì	陆绩
lù jiǎ	陆贾
lǔ jiǒng	鲁炅
lù kāng	陆慷
lù kāng	陆康
lù kàng	陆抗
lù lěi	陆磊
lù qí	陆奇
lù ruì	陆叡
lù yā	陆压
lù yǐ	陆扆
lù yóu	陆游
lù yǔ	陆羽
lù yún	陆云
lù zhōng	陆终
luó běn	罗本
luó dān	罗丹
luó fū	罗敷
luó jīng	罗京
luó lán	罗兰
luó lín	罗琳
luó màn	罗曼
luó sù	罗素
lǚ bù	吕布
lǚ gōng	吕公
lǚ hòu	吕后
lǚ jiā	吕嘉
lǚ kè	吕克
lǚ lín	吕林
lǚ méng	吕蒙
lǚ shàng	吕尚
lǚ wèi	吕渭
lǚ wēn	吕温
lǚ yì	吕乂
lǚ yuè	吕岳
lǚ zhì	吕雉
lǚ zǔ	吕祖
mǎ dài	马岱
mǎ dài	马戴
mǎ dēng	马登
mǎ ēn	马恩
mǎ fāng	马芳
mǎ féng	马逢
mǎ gāng	马钢
mǎ hàn	马汉
mǎ jiàn	马建
mǎ kǎi	马凯
mǎ lè	马勒
mǎ lín	马林
mǎ lín	马麟
mǎ lóng	马隆
mǎ míng	马鸣
mǎ nài	马奈
mǎ róng	马融
mǎ sù	马谡
mǎ tài	马太
mǎ wáng	马王
mǎ wǔ	马武
mǎ yīn	马殷
mǎ yuán	马原
mǎ yuán	马援
mǎ yuǎn	马远
mǎ yún	马云
mǎ zhōng	马忠
mǎ zhōu	马周
mǎ zǔ	马祖
máo níng	毛宁
mèng chǎng	孟昶
mèng chí	孟迟
mèng dé	孟德
mèng gǒng	孟珙
mèng guàn	孟贯
mèng guāng	孟光
mèng huò	孟获
mèng jiǎn	孟简
mèng jiāo	孟郊
mèng kāng	孟康
mèng kē	孟轲
mèng liáng	孟良
mèng mǔ	孟母
mèng qǐ	孟起
mèng sēn	孟森
mèng yōu	孟优
mèng zǐ	孟子
mèng zōng	孟宗
miào bīn	缪斌
mù dàn	穆旦
mù dí	穆迪
mù gōng	穆公
mù qīng	穆青
mù shèng	穆圣
mù wáng	穆王
mù zōng	穆宗
ní kuāng	倪匡
ní píng	倪萍
niè ěr	聂耳
niè fēng	聂风
niè zhèng	聂政
pān ān	潘安
pān ēn	潘恩
pān fén	潘汾
pān fèng	潘凤
pān fēng	潘峰
pān hé	潘和
pān jié	潘洁
pān jìng	潘静
pān jùn	潘濬
pān kē	潘科
pān měi	潘美
pān mǐn	潘敏
pān míng	潘明
pān nī	潘妮
pān qiáng	潘强
pān shū	潘菽
pān shuài	潘帅
pān sù	潘素
pān táng	潘唐
pān wèi	潘蔚
pān xiǎo	潘晓
pān xīng	潘兴
pān yán	潘炎
pān yì	潘毅
pān yōng	潘雍
pān yòu	潘佑
pān yuè	潘岳
pān zhāng	潘璋
páng juān	庞涓
péi cuǐ	裴漼
péi dí	裴迪
péi dù	裴度
péi háng	裴航
péi jì	裴寂
péi jǔ	裴矩
péi lín	裴潾
péi qǐ	裴杞
péi qián	裴潜
péi shuō	裴说
péi xiū	裴休
péi xiù	裴秀
péi xū	裴谞
péi yán	裴炎
péi zhì	裴贽
péng pài	彭湃
qí fēi	齐妃
qí huàn	齐浣
qī jī	戚姬
qí jǐ	齐己
qí qín	齐秦
qí tài	齐泰
qí wáng	齐王
qiáo bā	乔巴
qiáo dān	乔丹
qiáo fēng	乔峰
qiáo liáng	乔良
qiáo qí	乔琪
qiáo rán	乔燃
qiáo shí	乔石
qiáo sǒu	乔叟
qiáo tuō	乔托
qiáo yǔ	乔羽
qiáo zhì	乔治
qín gāng	秦刚
qín guān	秦观
qín huì	秦桧
qín huī	秦晖
qín jiā	秦嘉
qín jūn	秦君
qín lǎng	秦朗
qín mì	秦宓
qín qióng	秦琼
qín shēng	秦升
qín wáng	秦王
qín yuè	秦越
qín zhōng	秦钟
qín zhòng	秦仲
qiú yīng	仇英
rǎn mǐn	冉闵
rǎn qiú	冉求
rǎn yǒu	冉有
ruǎn jí	阮籍
ruǎn yǔ	阮瑀
ruǎn yuè	阮阅
shàn shēng	单声
shào huá	邵华
shào yè	邵谒
shào yōng	邵雍
shěn chóng	沈崇
shěn fēi	沈飞
shěn fù	沈复
shěn hào	沈浩
shěn huì	沈晦
shěn kuò	沈括
shěn liàn	沈炼
shěn miǎo	沈邈
shěn péng	沈鹏
shěn yuē	沈约
shěn zhōu	沈周
shěn zuì	沈醉
shēng yǔn	升允
shī láng	施琅
shī yáng	施洋
sòng cí	宋慈
sòng jiàn	宋健
sòng jiāng	宋江
sòng kē	宋柯
sòng lián	宋濂
sòng píng	宋平
sòng qí	宋祁
sòng wàn	宋万
sòng wǎn	宋琬
sòng yōng	宋雍
sūn bìn	孙膑
sūn bīn	孙斌
sūn cè	孙策
sūn ēn	孙恩
sūn fáng	孙鲂
sūn hào	孙皓
sūn jùn	孙峻
sūn kē	孙科
sūn liàng	孙亮
sūn qián	孙乾
sūn quán	孙权
sūn wén	孙文
sūn wǔ	孙武
sūn wú	孙吴
sūn xiū	孙休
sūn yú	孙瑜
téng fēi	滕飞
wáng bēn	王贲
wáng bì	王弼
wáng bó	王勃
wáng càn	王粲
wáng chōng	王充
wáng chǒng	王宠
wáng dān	王丹
wáng dǎo	王导
wáng dūn	王敦
wáng fú	王符
wáng hàn	王翰
wáng hé	王龁
wāng huá	汪华
wāng huī	汪晖
wáng jí	王吉
wáng jī	王基
wáng jì	王绩
wáng jiān	王坚
wáng jiàn	王健
wáng jiǎn	王翦
wáng jiàn	王建
wáng lǎng	王朗
wáng lì	王力
wáng lí	王离
wāng lún	汪伦
wáng lún	王伦
wáng mǎng	王莽
wáng měng	王猛
wáng miǎn	王冕
wáng níng	王宁
wāng shēn	汪莘
wáng shù	王澍
wáng shuò	王朔
wáng sù	王肃
wáng wéi	王维
wáng wēi	王微
wáng xī	王吸
wáng xiàn	王献
wáng xiáng	王祥
wáng xiū	王脩
wáng xuǎn	王选
wáng yǎn	王衍
wáng yì	王毅
wáng yín	王垠
wáng yǔn	王允
wāng zǎo	汪藻
wāng zhí	汪直
wāng zhuó	汪晫
wāng zūn	汪遵
wáng zuǒ	王佐
wèi dōng	魏东
wèi fú	魏扶
wèi guàn	卫瓘
wèi hóng	魏宏
wèi jì	卫觊
wèi jié	魏杰
wèi kàng	卫伉
wèi kè	魏克
wèi kūn	魏坤
wèi míng	魏明
wèi mó	魏谟
wèi pǔ	魏朴
wèi qǐ	魏杞
wèi qīng	卫青
wèi rǎn	魏冉
wèi shōu	魏收
wèi sī	魏斯
wèi yán	魏延
wèi yuán	魏源
wèi zhé	卫哲
wèi zhēn	卫臻
wèi zhēng	魏征
wèi zhuāng	卫庄
wēn gé	温格
wēn gōng	温公
wēn hóu	温侯
wēn huī	温恢
wēn jiào	温峤
wēn wáng	温王
wēn xiàn	温宪
wú chéng	吴澄
wú fèng	吴凤
wú guǎng	吴广
wú hán	吴晗
wú hàn	吴汉
wú mì	吴宓
wú qǐ	吴起
wú sī	吴思
wú wáng	吴王
wú xié	吴邪
